,SimSec(s),StartTime(s),EndTime(s),QUEUE_LENGTH,OBJ_DETECT_REQ,MISSED_REQ,CPU_USAGE(%),MEM_USAGE(%),WAITING_IN_QUEUE(s),IMAGE_LOAD(s),OBJECT_DETECT(s)
0,0.0,1723963026.3053274,1723963026.394238,0,0,0,63.8,2.02,0.0,0.0,0.0
1,0.09,1723963026.394263,1723963026.4861171,0,0,0,63.8,2.02,0.0,0.0,0.0
2,0.18,1723963026.4861374,1723963026.578822,0,0,0,63.8,2.02,0.0,0.0,0.0
3,0.27,1723963026.5788405,1723963026.670476,0,0,0,63.8,2.02,0.0,0.0,0.0
4,0.36,1723963026.6704957,1723963026.7622454,0,0,0,63.8,2.02,0.0,0.0,0.0
5,0.45,1723963026.7622654,1723963026.854407,0,0,0,63.8,2.02,0.0,0.0,0.0
6,0.54,1723963026.854428,1723963026.9460518,0,0,0,63.8,2.02,0.0,0.0,0.0
7,0.63,1723963026.9460714,1723963027.0384467,0,0,0,63.8,2.02,0.0,0.0,0.0
8,0.72,1723963027.0384653,1723963027.1309967,0,0,0,63.8,2.02,0.0,0.0,0.0
9,0.81,1723963027.1310291,1723963027.231337,0,0,0,63.8,2.02,0.0,0.0,0.0
10,0.91,1723963027.231369,1723963027.3264213,0,0,0,63.8,2.02,0.0,0.0,0.0
11,1.01,1723963027.32644,1723963027.418593,0,0,0,63.8,2.02,0.0,0.0,0.0
12,1.1,1723963027.4186144,1723963027.5106728,0,0,0,63.8,2.02,0.0,0.0,0.0
13,1.19,1723963027.5106924,1723963027.602683,0,0,0,63.8,2.02,0.0,0.0,0.0
14,1.28,1723963027.6027179,1723963027.7022219,0,0,0,63.8,2.02,0.0,0.0,0.0
15,1.38,1723963027.7022574,1723963027.8015316,0,0,0,63.8,2.02,0.0,0.0,0.0
16,1.48,1723963027.8015664,1723963027.8960953,0,0,0,63.8,2.02,0.0,0.0,0.0
17,1.57,1723963027.8961139,1723963027.9734125,0,0,0,63.8,2.02,0.0,0.0,0.0
18,1.65,1723963027.9734302,1723963028.0563533,0,0,0,63.8,2.02,0.0,0.0,0.0
19,1.73,1723963028.0563812,1723963028.1491745,0,0,0,63.8,2.02,0.0,0.0,0.0
20,1.82,1723963028.1491961,1723963028.2400534,0,0,0,63.8,2.02,0.0,0.0,0.0
21,1.91,1723963028.2400737,1723963028.3317907,0,0,0,63.8,2.02,0.0,0.0,0.0
22,2.0,1723963028.3318093,1723963028.4233322,0,0,0,63.8,2.02,0.0,0.0,0.0
23,2.09,1723963028.4233532,1723963028.5156987,0,0,0,63.8,2.02,0.0,0.0,0.0
24,2.18,1723963028.5157173,1723963028.6089945,0,0,0,63.8,2.02,0.0,0.0,0.0
25,2.27,1723963028.6090152,1723963028.7000325,0,0,0,63.8,2.02,0.0,0.0,0.0
26,2.36,1723963028.7000554,1723963028.7912836,0,0,0,63.8,2.02,0.0,0.0,0.0
27,2.45,1723963028.7913055,1723963028.8829892,0,0,0,63.8,2.02,0.0,0.0,0.0
28,2.54,1723963028.8830082,1723963028.9748971,0,0,0,63.8,2.02,0.0,0.0,0.0
29,2.63,1723963028.9749184,1723963029.0660207,0,0,0,63.8,2.02,0.0,0.0,0.0
30,2.72,1723963029.0660424,1723963029.1582687,0,0,0,63.8,2.02,0.0,0.0,0.0
31,2.81,1723963029.1582909,1723963029.2502644,0,0,0,63.8,2.02,0.0,0.0,0.0
32,2.9,1723963029.2502866,1723963029.3428538,0,0,0,63.8,2.02,0.0,0.0,0.0
33,2.99,1723963029.3428786,1723963029.4349706,0,0,0,63.8,2.02,0.0,0.0,0.0
34,3.08,1723963029.4349937,1723963029.5260518,0,0,0,63.8,2.02,0.0,0.0,0.0
35,3.17,1723963029.526073,1723963029.6188653,0,0,0,63.8,2.02,0.0,0.0,0.0
36,3.26,1723963029.6188893,1723963029.7109334,0,0,0,63.8,2.02,0.0,0.0,0.0
37,3.35,1723963029.710957,1723963029.8029215,0,0,0,63.8,2.02,0.0,0.0,0.0
38,3.44,1723963029.802941,1723963029.8948622,0,0,0,63.8,2.02,0.0,0.0,0.0
