,SimSec(s),StartTime(s),EndTime(s),QUEUE_LENGTH,OBJ_DETECT_REQ,MISSED_REQ,CPU_USAGE(%),MEM_USAGE(%),WAITING_IN_QUEUE(s),IMAGE_LOAD(s),OBJECT_DETECT(s)
0,0.0,1723970314.6917062,1723970314.7826614,0,0,0,61.5,2.03,0.0,0.0,0.0
1,0.09,1723970314.7826867,1723970314.873795,0,0,0,61.5,2.03,0.0,0.0,0.0
2,0.18,1723970314.8738172,1723970314.967374,0,0,0,61.5,2.03,0.0,0.0,0.0
3,0.27,1723970314.9674087,1723970315.067221,0,0,0,61.5,2.03,0.0,0.0,0.0
4,0.37,1723970315.0672424,1723970315.160183,0,0,0,61.5,2.03,0.0,0.0,0.0
5,0.46,1723970315.1602051,1723970315.2521453,0,0,0,61.5,2.03,0.0,0.0,0.0
6,0.55,1723970315.2521665,1723970315.3433816,0,0,0,61.5,2.03,0.0,0.0,0.0
7,0.64,1723970315.343403,1723970315.4360082,0,0,0,61.5,2.03,0.0,0.0,0.0
8,0.73,1723970315.4360287,1723970315.5280352,0,0,0,61.5,2.03,0.0,0.0,0.0
9,0.82,1723970315.5280547,1723970315.6195717,0,0,0,61.5,2.03,0.0,0.0,0.0
10,0.91,1723970315.6195927,1723970315.7121549,0,0,0,61.5,2.03,0.0,0.0,0.0
11,1.0,1723970315.7121959,1723970315.8119812,0,0,0,61.5,2.03,0.0,0.0,0.0
12,1.1,1723970315.812002,1723970315.9043076,0,0,0,61.5,2.03,0.0,0.0,0.0
13,1.19,1723970315.90433,1723970315.9959362,0,0,0,61.5,2.03,0.0,0.0,0.0
14,1.28,1723970315.9959586,1723970316.0880587,0,0,0,61.5,2.03,0.0,0.0,0.0
15,1.37,1723970316.08808,1723970316.1794782,0,0,0,61.5,2.03,0.0,0.0,0.0
16,1.46,1723970316.1794996,1723970316.2715948,0,0,0,61.5,2.03,0.0,0.0,0.0
17,1.55,1723970316.271618,1723970316.3633912,0,0,0,61.5,2.03,0.0,0.0,0.0
18,1.64,1723970316.363412,1723970316.4555929,0,0,0,61.5,2.03,0.0,0.0,0.0
19,1.73,1723970316.4556136,1723970316.546535,0,0,0,61.5,2.03,0.0,0.0,0.0
20,1.82,1723970316.5465562,1723970316.6383693,0,0,0,61.5,2.03,0.0,0.0,0.0
21,1.91,1723970316.6383917,1723970316.7304857,0,0,0,61.5,2.03,0.0,0.0,0.0
22,2.0,1723970316.730508,1723970316.8227615,0,0,0,61.5,2.03,0.0,0.0,0.0
23,2.09,1723970316.822786,1723970316.9154055,0,0,0,61.5,2.03,0.0,0.0,0.0
24,2.18,1723970316.9154265,1723970317.0072587,0,0,0,61.5,2.03,0.0,0.0,0.0
25,2.27,1723970317.0072808,1723970317.099658,0,0,0,61.5,2.03,0.0,0.0,0.0
26,2.36,1723970317.0996788,1723970317.191446,0,0,0,61.5,2.03,0.0,0.0,0.0
27,2.45,1723970317.191467,1723970317.2839506,0,0,0,61.5,2.03,0.0,0.0,0.0
28,2.54,1723970317.2839732,1723970317.375802,0,0,0,61.5,2.03,0.0,0.0,0.0
29,2.63,1723970317.3758245,1723970317.4680512,0,0,0,61.5,2.03,0.0,0.0,0.0
30,2.72,1723970317.4680724,1723970317.559443,0,0,0,61.5,2.03,0.0,0.0,0.0
31,2.81,1723970317.5594637,1723970317.6515977,0,0,0,61.5,2.03,0.0,0.0,0.0
32,2.9,1723970317.6516194,1723970317.7434084,0,0,0,61.5,2.03,0.0,0.0,0.0
33,2.99,1723970317.743432,1723970317.835571,0,0,0,61.5,2.03,0.0,0.0,0.0
34,3.08,1723970317.835593,1723970317.9273987,0,0,0,61.5,2.03,0.0,0.0,0.0
35,3.17,1723970317.9274204,1723970318.0187855,0,0,0,61.5,2.03,0.0,0.0,0.0
36,3.26,1723970318.018811,1723970318.1108358,0,0,0,61.5,2.03,0.0,0.0,0.0
37,3.35,1723970318.110858,1723970318.2028222,0,0,0,61.5,2.03,0.0,0.0,0.0
