,SimSec(s),StartTime(s),EndTime(s),QUEUE_LENGTH,OBJ_DETECT_REQ,MISSED_REQ,CPU_USAGE(%),MEM_USAGE(%),WAITING_IN_QUEUE(s),IMAGE_LOAD(s),OBJECT_DETECT(s)
0,0.0,1723977610.4964075,1723977610.5857048,0,0,0,62.1,2.03,0.0,0.0,0.0
1,0.09,1723977610.585731,1723977610.676463,0,0,0,62.1,2.03,0.0,0.0,0.0
2,0.18,1723977610.6764832,1723977610.7700052,0,0,0,62.1,2.03,0.0,0.0,0.0
3,0.27,1723977610.7700267,1723977610.8628464,0,0,0,62.1,2.03,0.0,0.0,0.0
4,0.36,1723977610.8628688,1723977610.9548826,0,0,0,62.1,2.03,0.0,0.0,0.0
5,0.45,1723977610.954907,1723977611.0467215,0,0,0,62.1,2.03,0.0,0.0,0.0
6,0.54,1723977611.0467415,1723977611.1387513,0,0,0,62.1,2.03,0.0,0.0,0.0
7,0.63,1723977611.1387727,1723977611.2307873,0,0,0,62.1,2.03,0.0,0.0,0.0
8,0.72,1723977611.2308087,1723977611.3228707,0,0,0,62.1,2.03,0.0,0.0,0.0
9,0.81,1723977611.322894,1723977611.415237,0,0,0,62.1,2.03,0.0,0.0,0.0
10,0.9,1723977611.4152558,1723977611.5068293,0,0,0,62.1,2.03,0.0,0.0,0.0
11,0.99,1723977611.506852,1723977611.5987349,0,0,0,62.1,2.03,0.0,0.0,0.0
12,1.08,1723977611.5987563,1723977611.691023,0,0,0,62.1,2.03,0.0,0.0,0.0
13,1.17,1723977611.6910436,1723977611.7829235,0,0,0,62.1,2.03,0.0,0.0,0.0
14,1.26,1723977611.782943,1723977611.8750038,0,0,0,62.1,2.03,0.0,0.0,0.0
15,1.35,1723977611.8750231,1723977611.97446,0,0,0,62.1,2.03,0.0,0.0,0.0
16,1.45,1723977611.974492,1723977612.072611,0,0,0,62.1,2.03,0.0,0.0,0.0
17,1.55,1723977612.0726435,1723977612.1667154,0,0,0,62.1,2.03,0.0,0.0,0.0
18,1.64,1723977612.166734,1723977612.258722,0,0,0,62.1,2.03,0.0,0.0,0.0
19,1.73,1723977612.258744,1723977612.3506994,0,0,0,62.1,2.03,0.0,0.0,0.0
20,1.82,1723977612.350723,1723977612.4423904,0,0,0,62.1,2.03,0.0,0.0,0.0
21,1.91,1723977612.44241,1723977612.5345495,0,0,0,62.1,2.03,0.0,0.0,0.0
22,2.0,1723977612.5345678,1723977612.625869,0,0,0,62.1,2.03,0.0,0.0,0.0
23,2.09,1723977612.6258907,1723977612.7181718,0,0,0,62.1,2.03,0.0,0.0,0.0
24,2.18,1723977612.7181914,1723977612.81104,0,0,0,62.1,2.03,0.0,0.0,0.0
25,2.27,1723977612.81106,1723977612.9031348,0,0,0,62.1,2.03,0.0,0.0,0.0
26,2.36,1723977612.903155,1723977612.9954376,0,0,0,62.1,2.03,0.0,0.0,0.0
27,2.45,1723977612.9954584,1723977613.0871894,0,0,0,62.1,2.03,0.0,0.0,0.0
