,SimSec(s),StartTime(s),EndTime(s),QUEUE_LENGTH,OBJ_DETECT_REQ,MISSED_REQ,CPU_USAGE(%),MEM_USAGE(%),WAITING_IN_QUEUE(s),IMAGE_LOAD(s),OBJECT_DETECT(s)
0,0.0,1723973974.9232674,1723973975.0163069,0,0,0,61.0,2.03,0.0,0.0,0.0
1,0.09,1723973975.0163302,1723973975.0944078,0,0,0,61.0,2.03,0.0,0.0,0.0
2,0.17,1723973975.0944238,1723973975.1740239,0,0,0,61.0,2.03,0.0,0.0,0.0
3,0.25,1723973975.1740494,1723973975.2608929,0,0,0,61.0,2.03,0.0,0.0,0.0
4,0.34,1723973975.2609122,1723973975.3524501,0,0,0,61.0,2.03,0.0,0.0,0.0
5,0.43,1723973975.3524888,1723973975.4483707,0,0,0,61.0,2.03,0.0,0.0,0.0
6,0.53,1723973975.4483907,1723973975.539929,0,0,0,61.0,2.03,0.0,0.0,0.0
7,0.62,1723973975.539948,1723973975.6316066,0,0,0,61.0,2.03,0.0,0.0,0.0
8,0.71,1723973975.631628,1723973975.723166,0,0,0,61.0,2.03,0.0,0.0,0.0
9,0.8,1723973975.7231872,1723973975.815422,0,0,0,61.0,2.03,0.0,0.0,0.0
10,0.89,1723973975.8154414,1723973975.9067674,0,0,0,61.0,2.03,0.0,0.0,0.0
11,0.98,1723973975.9067903,1723973975.9985886,0,0,0,61.0,2.03,0.0,0.0,0.0
12,1.07,1723973975.9986086,1723973976.090728,0,0,0,61.0,2.03,0.0,0.0,0.0
13,1.16,1723973976.0907516,1723973976.1827767,0,0,0,61.0,2.03,0.0,0.0,0.0
14,1.25,1723973976.1827967,1723973976.2745152,0,0,0,61.0,2.03,0.0,0.0,0.0
15,1.34,1723973976.2745373,1723973976.3668654,0,0,0,61.0,2.03,0.0,0.0,0.0
16,1.43,1723973976.36689,1723973976.459203,0,0,0,61.0,2.03,0.0,0.0,0.0
17,1.52,1723973976.459223,1723973976.5505707,0,0,0,61.0,2.03,0.0,0.0,0.0
18,1.61,1723973976.5505915,1723973976.642739,0,0,0,61.0,2.03,0.0,0.0,0.0
19,1.7,1723973976.6427584,1723973976.7342176,0,0,0,61.0,2.03,0.0,0.0,0.0
20,1.79,1723973976.734237,1723973976.8256261,0,0,0,61.0,2.03,0.0,0.0,0.0
21,1.88,1723973976.825647,1723973976.9171607,0,0,0,61.0,2.03,0.0,0.0,0.0
22,1.97,1723973976.917179,1723973977.0081687,0,0,0,61.0,2.03,0.0,0.0,0.0
23,2.06,1723973977.0081892,1723973977.0994465,0,0,0,61.0,2.03,0.0,0.0,0.0
24,2.15,1723973977.0994682,1723973977.1910675,0,0,0,61.0,2.03,0.0,0.0,0.0
25,2.24,1723973977.1910882,1723973977.2830546,0,0,0,61.0,2.03,0.0,0.0,0.0
26,2.33,1723973977.2830758,1723973977.3747816,0,0,0,61.0,2.03,0.0,0.0,0.0
27,2.42,1723973977.3748057,1723973977.4669702,0,0,0,61.0,2.03,0.0,0.0,0.0
28,2.51,1723973977.4669914,1723973977.5590992,0,0,0,61.0,2.03,0.0,0.0,0.0
29,2.6,1723973977.5591204,1723973977.6508293,0,0,0,61.0,2.03,0.0,0.0,0.0
30,2.69,1723973977.650851,1723973977.7429469,0,0,0,61.0,2.03,0.0,0.0,0.0
31,2.78,1723973977.7429686,1723973977.834785,0,0,0,61.0,2.03,0.0,0.0,0.0
32,2.87,1723973977.834826,1723973977.9327528,0,0,0,61.0,2.03,0.0,0.0,0.0
33,2.97,1723973977.9327924,1723973978.0300705,0,0,0,61.0,2.03,0.0,0.0,0.0
34,3.07,1723973978.0301044,1723973978.1271865,0,0,0,61.0,2.03,0.0,0.0,0.0
35,3.17,1723973978.1272044,1723973978.2045424,0,0,0,61.0,2.03,0.0,0.0,0.0
36,3.25,1723973978.2045639,1723973978.283589,0,0,0,61.0,2.03,0.0,0.0,0.0
37,3.33,1723973978.2836218,1723973978.371051,0,0,0,61.0,2.03,0.0,0.0,0.0
38,3.42,1723973978.3710752,1723973978.4624298,0,0,0,61.0,2.03,0.0,0.0,0.0
39,3.51,1723973978.4624503,1723973978.5542927,0,0,0,61.0,2.03,0.0,0.0,0.0
40,3.6,1723973978.5543158,1723973978.6464138,0,0,0,61.0,2.03,0.0,0.0,0.0
41,3.69,1723973978.6464353,1723973978.7385845,0,0,0,61.0,2.03,0.0,0.0,0.0
42,3.78,1723973978.738606,1723973978.8306425,0,0,0,61.0,2.03,0.0,0.0,0.0
43,3.87,1723973978.830664,1723973978.922296,0,0,0,61.0,2.03,0.0,0.0,0.0
44,3.96,1723973978.922319,1723973979.013233,0,0,0,61.0,2.03,0.0,0.0,0.0
45,4.05,1723973979.013255,1723973979.104102,0,0,0,61.0,2.03,0.0,0.0,0.0
46,4.14,1723973979.1041229,1723973979.1952596,0,0,0,61.0,2.03,0.0,0.0,0.0
47,4.23,1723973979.195287,1723973979.2868602,0,0,0,61.0,2.03,0.0,0.0,0.0
48,4.32,1723973979.2868874,1723973979.3790646,0,0,0,61.0,2.03,0.0,0.0,0.0
49,4.41,1723973979.3790865,1723973979.470839,0,0,0,61.0,2.03,0.0,0.0,0.0
50,4.5,1723973979.4708617,1723973979.5627768,0,0,0,61.0,2.03,0.0,0.0,0.0
51,4.59,1723973979.562801,1723973979.654891,0,0,0,61.0,2.03,0.0,0.0,0.0
52,4.68,1723973979.6549191,1723973979.7468019,0,0,0,61.0,2.03,0.0,0.0,0.0
53,4.77,1723973979.7468266,1723973979.838828,0,0,0,61.0,2.03,0.0,0.0,0.0
54,4.86,1723973979.8388503,1723973979.9304335,0,0,0,61.0,2.03,0.0,0.0,0.0
55,4.95,1723973979.9304566,1723973980.0225534,0,0,0,61.0,2.03,0.0,0.0,0.0
56,5.04,1723973980.0225747,1723973980.1149404,0,0,0,61.0,2.03,0.0,0.0,0.0
