,SimSec(s),StartTime(s),EndTime(s),QUEUE_LENGTH,OBJ_DETECT_REQ,MISSED_REQ,CPU_USAGE(%),MEM_USAGE(%),WAITING_IN_QUEUE(s),IMAGE_LOAD(s),OBJECT_DETECT(s)
0,0.0,1723981214.7407396,1723981214.827431,0,0,0,64.9,2.02,0.0,0.0,0.0
1,0.09,1723981214.827459,1723981214.9176698,0,0,0,64.9,2.02,0.0,0.0,0.0
2,0.18,1723981214.9176898,1723981215.0068069,0,0,0,64.9,2.02,0.0,0.0,0.0
3,0.27,1723981215.0068288,1723981215.0947707,0,0,0,64.9,2.02,0.0,0.0,0.0
4,0.36,1723981215.0947948,1723981215.184623,0,0,0,64.9,2.02,0.0,0.0,0.0
5,0.45,1723981215.1846457,1723981215.273975,0,0,0,64.9,2.02,0.0,0.0,0.0
6,0.54,1723981215.2739964,1723981215.362844,0,0,0,64.9,2.02,0.0,0.0,0.0
7,0.63,1723981215.362868,1723981215.4513102,0,0,0,64.9,2.02,0.0,0.0,0.0
8,0.72,1723981215.4513319,1723981215.5415106,0,0,0,64.9,2.02,0.0,0.0,0.0
9,0.81,1723981215.5415347,1723981215.6306982,0,0,0,64.9,2.02,0.0,0.0,0.0
10,0.9,1723981215.6307182,1723981215.7190444,0,0,0,64.9,2.02,0.0,0.0,0.0
11,0.99,1723981215.7190669,1723981215.8092237,0,0,0,64.9,2.02,0.0,0.0,0.0
12,1.08,1723981215.809246,1723981215.8983793,0,0,0,64.9,2.02,0.0,0.0,0.0
13,1.17,1723981215.8984013,1723981215.98734,0,0,0,64.9,2.02,0.0,0.0,0.0
14,1.26,1723981215.9873612,1723981216.076773,0,0,0,64.9,2.02,0.0,0.0,0.0
15,1.35,1723981216.0767949,1723981216.1662543,0,0,0,64.9,2.02,0.0,0.0,0.0
16,1.44,1723981216.1662776,1723981216.2547593,0,0,0,64.9,2.02,0.0,0.0,0.0
17,1.53,1723981216.2547848,1723981216.3445277,0,0,0,64.9,2.02,0.0,0.0,0.0
18,1.62,1723981216.34455,1723981216.4349258,0,0,0,64.9,2.02,0.0,0.0,0.0
19,1.71,1723981216.4349468,1723981216.525354,0,0,0,64.9,2.02,0.0,0.0,0.0
20,1.8,1723981216.5253756,1723981216.6146483,0,0,0,64.9,2.02,0.0,0.0,0.0
21,1.89,1723981216.6146898,1723981216.7088563,0,0,0,64.9,2.02,0.0,0.0,0.0
22,1.98,1723981216.7088778,1723981216.7980173,0,0,0,64.9,2.02,0.0,0.0,0.0
23,2.07,1723981216.79804,1723981216.8870952,0,0,0,64.9,2.02,0.0,0.0,0.0
24,2.16,1723981216.8871174,1723981216.9751391,0,0,0,64.9,2.02,0.0,0.0,0.0
25,2.25,1723981216.9751623,1723981217.0653615,0,0,0,64.9,2.02,0.0,0.0,0.0
26,2.34,1723981217.0653834,1723981217.1544816,0,0,0,64.9,2.02,0.0,0.0,0.0
27,2.43,1723981217.1545043,1723981217.2430453,0,0,0,64.9,2.02,0.0,0.0,0.0
28,2.52,1723981217.243068,1723981217.3325279,0,0,0,64.9,2.02,0.0,0.0,0.0
29,2.61,1723981217.3325512,1723981217.4222312,0,0,0,64.9,2.02,0.0,0.0,0.0
30,2.7,1723981217.422254,1723981217.5114276,0,0,0,64.9,2.02,0.0,0.0,0.0
31,2.79,1723981217.5114496,1723981217.6012766,0,0,0,64.9,2.02,0.0,0.0,0.0
32,2.88,1723981217.6013002,1723981217.6915972,0,0,0,64.9,2.02,0.0,0.0,0.0
33,2.97,1723981217.6916225,1723981217.7817035,0,0,0,64.9,2.02,0.0,0.0,0.0
34,3.06,1723981217.781726,1723981217.8705215,0,0,0,64.9,2.02,0.0,0.0,0.0
35,3.15,1723981217.8705466,1723981217.9606643,0,0,0,64.9,2.02,0.0,0.0,0.0
36,3.24,1723981217.9606926,1723981218.0500898,0,0,0,64.9,2.02,0.0,0.0,0.0
37,3.33,1723981218.0501146,1723981218.1390612,0,0,0,64.9,2.02,0.0,0.0,0.0
38,3.42,1723981218.1390839,1723981218.2274678,0,0,0,64.9,2.02,0.0,0.0,0.0
39,3.51,1723981218.2274914,1723981218.3168766,0,0,0,64.9,2.02,0.0,0.0,0.0
40,3.6,1723981218.3168986,1723981218.4062612,0,0,0,64.9,2.02,0.0,0.0,0.0
41,3.69,1723981218.406286,1723981218.494992,0,0,0,64.9,2.02,0.0,0.0,0.0
42,3.78,1723981218.495015,1723981218.5845811,0,0,0,64.9,2.02,0.0,0.0,0.0
43,3.87,1723981218.5846038,1723981218.6738098,0,0,0,64.9,2.02,0.0,0.0,0.0
44,3.96,1723981218.6738331,1723981218.762347,0,0,0,64.9,2.02,0.0,0.0,0.0
45,4.05,1723981218.7623725,1723981218.8512034,0,0,0,64.9,2.02,0.0,0.0,0.0
46,4.14,1723981218.851228,1723981218.9410298,0,0,0,64.9,2.02,0.0,0.0,0.0
47,4.23,1723981218.9410582,1723981219.0305028,0,0,0,64.9,2.02,0.0,0.0,0.0
48,4.32,1723981219.0305254,1723981219.1192014,0,0,0,64.9,2.02,0.0,0.0,0.0
49,4.41,1723981219.1192238,1723981219.2084005,0,0,0,64.9,2.02,0.0,0.0,0.0
50,4.5,1723981219.2084239,1723981219.2984114,0,0,0,64.9,2.02,0.0,0.0,0.0
51,4.59,1723981219.2984345,1723981219.3880455,0,0,0,64.9,2.02,0.0,0.0,0.0
52,4.68,1723981219.388069,1723981219.4782841,0,0,0,64.9,2.02,0.0,0.0,0.0
53,4.77,1723981219.4783087,1723981219.5670154,0,0,0,64.9,2.02,0.0,0.0,0.0
54,4.86,1723981219.567037,1723981219.6566308,0,0,0,64.9,2.02,0.0,0.0,0.0
55,4.95,1723981219.6566558,1723981219.7457774,0,0,0,64.9,2.02,0.0,0.0,0.0
56,5.04,1723981219.7457995,1723981219.8345168,0,0,0,64.9,2.02,0.0,0.0,0.0
57,5.13,1723981219.8345401,1723981219.9229395,0,0,0,64.9,2.02,0.0,0.0,0.0
58,5.22,1723981219.922963,1723981220.0122514,0,0,0,64.9,2.02,0.0,0.0,0.0
59,5.31,1723981220.0122776,1723981220.102122,0,0,0,64.9,2.02,0.0,0.0,0.0
60,5.4,1723981220.1021442,1723981220.190856,0,0,0,64.9,2.02,0.0,0.0,0.0
61,5.49,1723981220.190882,1723981220.2807539,0,0,0,64.9,2.02,0.0,0.0,0.0
62,5.58,1723981220.2807765,1723981220.3705688,0,0,0,64.9,2.02,0.0,0.0,0.0
63,5.67,1723981220.3705928,1723981220.465631,0,0,0,64.9,2.02,0.0,0.0,0.0
64,5.77,1723981220.465673,1723981220.5608866,0,0,0,64.9,2.02,0.0,0.0,0.0
65,5.87,1723981220.5609286,1723981220.6528494,0,0,0,64.9,2.02,0.0,0.0,0.0
66,5.96,1723981220.6528676,1723981220.7288015,0,0,0,64.9,2.02,0.0,0.0,0.0
67,6.04,1723981220.7288206,1723981220.8062475,0,0,0,64.9,2.02,0.0,0.0,0.0
68,6.12,1723981220.8062818,1723981220.8894534,0,0,0,64.9,2.02,0.0,0.0,0.0
69,6.2,1723981220.8894775,1723981220.9787173,0,0,0,64.9,2.02,0.0,0.0,0.0
70,6.29,1723981220.9787412,1723981221.066995,0,0,0,64.9,2.02,0.0,0.0,0.0
71,6.38,1723981221.0670178,1723981221.1576178,0,0,0,64.9,2.02,0.0,0.0,0.0
72,6.47,1723981221.1576397,1723981221.2468135,0,0,0,64.9,2.02,0.0,0.0,0.0
73,6.56,1723981221.2468424,1723981221.3354018,0,0,0,64.9,2.02,0.0,0.0,0.0
74,6.65,1723981221.3354256,1723981221.4245875,0,0,0,64.9,2.02,0.0,0.0,0.0
75,6.74,1723981221.4246106,1723981221.514107,0,0,0,64.9,2.02,0.0,0.0,0.0
76,6.83,1723981221.5141315,1723981221.603114,0,0,0,64.9,2.02,0.0,0.0,0.0
77,6.92,1723981221.6031399,1723981221.692578,0,0,0,64.9,2.02,0.0,0.0,0.0
78,7.01,1723981221.6926014,1723981221.7824888,0,0,0,64.9,2.02,0.0,0.0,0.0
79,7.1,1723981221.7825122,1723981221.8710861,0,0,0,64.9,2.02,0.0,0.0,0.0
80,7.19,1723981221.8711078,1723981221.96019,0,0,0,64.9,2.02,0.0,0.0,0.0
81,7.28,1723981221.960214,1723981222.0498981,0,0,0,64.9,2.02,0.0,0.0,0.0
82,7.37,1723981222.0499208,1723981222.1395102,0,0,0,64.9,2.02,0.0,0.0,0.0
83,7.46,1723981222.1395328,1723981222.227901,0,0,0,64.9,2.02,0.0,0.0,0.0
