,SimSec(s),StartTime(s),EndTime(s),QUEUE_LENGTH,OBJ_DETECT_REQ,MISSED_REQ,CPU_USAGE(%),MEM_USAGE(%),WAITING_IN_QUEUE(s),IMAGE_LOAD(s),OBJECT_DETECT(s)
0,0.0,1723948601.235151,1723948601.3145976,0,0,0,76.2,2.02,0.0,0.0,0.0
1,0.08,1723948601.3146255,1723948601.3973825,0,0,0,76.2,2.02,0.0,0.0,0.0
2,0.16,1723948601.3974042,1723948601.477771,0,0,0,76.2,2.02,0.0,0.0,0.0
3,0.24,1723948601.477798,1723948601.5589225,0,0,0,76.2,2.02,0.0,0.0,0.0
4,0.32,1723948601.5589445,1723948601.6406186,0,0,0,76.2,2.02,0.0,0.0,0.0
5,0.4,1723948601.6406424,1723948601.7224953,0,0,0,76.2,2.02,0.0,0.0,0.0
6,0.48,1723948601.7225177,1723948601.8030493,0,0,0,76.2,2.02,0.0,0.0,0.0
7,0.56,1723948601.803074,1723948601.8843787,0,0,0,76.2,2.02,0.0,0.0,0.0
8,0.64,1723948601.8844028,1723948601.9657643,0,0,0,76.2,2.02,0.0,0.0,0.0
9,0.72,1723948601.9657905,1723948602.0470066,0,0,0,76.2,2.02,0.0,0.0,0.0
10,0.8,1723948602.0470283,1723948602.12896,0,0,0,76.2,2.02,0.0,0.0,0.0
11,0.88,1723948602.1289825,1723948602.210735,0,0,0,76.2,2.02,0.0,0.0,0.0
12,0.96,1723948602.2107575,1723948602.29154,0,0,0,76.2,2.02,0.0,0.0,0.0
13,1.04,1723948602.2915657,1723948602.3725305,0,0,0,76.2,2.02,0.0,0.0,0.0
14,1.12,1723948602.372553,1723948602.454326,0,0,0,76.2,2.02,0.0,0.0,0.0
15,1.2,1723948602.4543502,1723948602.5367415,0,0,0,76.2,2.02,0.0,0.0,0.0
16,1.28,1723948602.5367632,1723948602.6179647,0,0,0,76.2,2.02,0.0,0.0,0.0
17,1.36,1723948602.6179883,1723948602.6988807,0,0,0,76.2,2.02,0.0,0.0,0.0
18,1.44,1723948602.6989012,1723948602.7808058,0,0,0,76.2,2.02,0.0,0.0,0.0
19,1.52,1723948602.7808294,1723948602.8620899,0,0,0,76.2,2.02,0.0,0.0,0.0
20,1.6,1723948602.8621113,1723948602.944457,0,0,0,76.2,2.02,0.0,0.0,0.0
21,1.68,1723948602.9444807,1723948603.025693,0,0,0,76.2,2.02,0.0,0.0,0.0
22,1.76,1723948603.0257142,1723948603.1065567,0,0,0,76.2,2.02,0.0,0.0,0.0
23,1.84,1723948603.1066003,1723948603.1921363,0,0,0,76.2,2.02,0.0,0.0,0.0
24,1.93,1723948603.1921585,1723948603.2735076,0,0,0,76.2,2.02,0.0,0.0,0.0
25,2.01,1723948603.2735279,1723948603.3544488,0,0,0,76.2,2.02,0.0,0.0,0.0
26,2.09,1723948603.3544722,1723948603.4353828,0,0,0,76.2,2.02,0.0,0.0,0.0
27,2.17,1723948603.4354038,1723948603.5168624,0,0,0,76.2,2.02,0.0,0.0,0.0
28,2.25,1723948603.516888,1723948603.5984275,0,0,0,76.2,2.02,0.0,0.0,0.0
29,2.33,1723948603.5984519,1723948603.6785276,0,0,0,76.2,2.02,0.0,0.0,0.0
30,2.41,1723948603.6785522,1723948603.7598412,0,0,0,76.2,2.02,0.0,0.0,0.0
31,2.49,1723948603.7598643,1723948603.841282,0,0,0,76.2,2.02,0.0,0.0,0.0
32,2.57,1723948603.8413043,1723948603.9224026,0,0,0,76.2,2.02,0.0,0.0,0.0
