,SimSec(s),StartTime(s),EndTime(s),QUEUE_LENGTH,OBJ_DETECT_REQ,MISSED_REQ,CPU_USAGE(%),MEM_USAGE(%),WAITING_IN_QUEUE(s),IMAGE_LOAD(s),OBJECT_DETECT(s)
0,0.0,1723908610.8093312,1723908610.8945165,0,0,0,84.4,2.01,0.0,0.0,0.0
1,0.09,1723908610.8945422,1723908610.97932,0,0,0,84.4,2.01,0.0,0.0,0.0
2,0.17,1723908610.9793453,1723908611.0646596,0,0,0,84.5,2.01,0.0,0.0,0.0
3,0.26,1723908611.064682,1723908611.148681,0,0,0,84.5,2.01,0.0,0.0,0.0
4,0.34,1723908611.1487021,1723908611.2326314,0,0,0,84.5,2.01,0.0,0.0,0.0
5,0.42,1723908611.2326531,1723908611.3174312,0,0,0,84.5,2.01,0.0,0.0,0.0
6,0.5,1723908611.3174524,1723908611.4026675,0,0,0,84.5,2.01,0.0,0.0,0.0
7,0.59,1723908611.402692,1723908611.4878356,0,0,0,84.5,2.01,0.0,0.0,0.0
8,0.68,1723908611.487858,1723908611.5736213,0,0,0,84.5,2.01,0.0,0.0,0.0
9,0.77,1723908611.573645,1723908611.6591249,0,0,0,84.4,2.01,0.0,0.0,0.0
10,0.86,1723908611.659147,1723908611.7443075,0,0,0,84.4,2.01,0.0,0.0,0.0
11,0.95,1723908611.7443285,1723908611.8290758,0,0,0,84.4,2.01,0.0,0.0,0.0
12,1.03,1723908611.8290987,1723908611.9144979,0,0,0,84.4,2.01,0.0,0.0,0.0
13,1.12,1723908611.9145193,1723908611.9996386,0,0,0,84.4,2.01,0.0,0.0,0.0
14,1.21,1723908611.9996603,1723908612.0841522,0,0,0,84.4,2.01,0.0,0.0,0.0
15,1.29,1723908612.084174,1723908612.169302,0,0,0,84.4,2.01,0.0,0.0,0.0
16,1.38,1723908612.1693244,1723908612.2542775,0,0,0,84.4,2.01,0.0,0.0,0.0
17,1.46,1723908612.2542999,1723908612.3391626,0,0,0,84.4,2.01,0.0,0.0,0.0
18,1.54,1723908612.3391833,1723908612.4240317,0,0,0,84.4,2.01,0.0,0.0,0.0
19,1.62,1723908612.4240723,1723908612.5152392,0,0,0,84.4,2.01,0.0,0.0,0.0
20,1.71,1723908612.5152614,1723908612.59988,0,0,0,84.4,2.01,0.0,0.0,0.0
21,1.79,1723908612.5999002,1723908612.6837475,0,0,0,84.4,2.01,0.0,0.0,0.0
22,1.87,1723908612.6837697,1723908612.768668,0,0,0,84.4,2.01,0.0,0.0,0.0
23,1.95,1723908612.7686896,1723908612.8521905,0,0,0,84.4,2.01,0.0,0.0,0.0
24,2.03,1723908612.8522103,1723908612.936578,0,0,0,84.4,2.01,0.0,0.0,0.0
25,2.11,1723908612.9365985,1723908613.020687,0,0,0,84.4,2.01,0.0,0.0,0.0
26,2.19,1723908613.0207102,1723908613.1052153,0,0,0,84.4,2.01,0.0,0.0,0.0
27,2.27,1723908613.1052365,1723908613.1893396,0,0,0,84.4,2.01,0.0,0.0,0.0
28,2.35,1723908613.189361,1723908613.2744715,0,0,0,84.4,2.01,0.0,0.0,0.0
29,2.44,1723908613.2744942,1723908613.3591242,0,0,0,84.4,2.01,0.0,0.0,0.0
30,2.52,1723908613.3591464,1723908613.4439259,0,0,0,84.4,2.01,0.0,0.0,0.0
31,2.6,1723908613.4439502,1723908613.5283673,0,0,0,84.4,2.01,0.0,0.0,0.0
32,2.68,1723908613.5283902,1723908613.6109765,0,0,0,84.4,2.01,0.0,0.0,0.0
33,2.76,1723908613.610998,1723908613.695691,0,0,0,84.4,2.01,0.0,0.0,0.0
34,2.84,1723908613.6957135,1723908613.7804925,0,0,0,84.4,2.01,0.0,0.0,0.0
35,2.92,1723908613.7805157,1723908613.864654,0,0,0,84.4,2.01,0.0,0.0,0.0
36,3.0,1723908613.8646803,1723908613.9492223,0,0,0,84.4,2.01,0.0,0.0,0.0
37,3.08,1723908613.9492457,1723908614.0342023,0,0,0,84.4,2.01,0.0,0.0,0.0
38,3.16,1723908614.0342286,1723908614.1194715,0,0,0,84.4,2.01,0.0,0.0,0.0
39,3.25,1723908614.119493,1723908614.203226,0,0,0,84.4,2.01,0.0,0.0,0.0
40,3.33,1723908614.2032495,1723908614.288346,0,0,0,84.4,2.01,0.0,0.0,0.0
41,3.42,1723908614.2883666,1723908614.3731475,0,0,0,84.4,2.01,0.0,0.0,0.0
42,3.5,1723908614.3731706,1723908614.4585907,0,0,0,84.4,2.01,0.0,0.0,0.0
43,3.59,1723908614.458613,1723908614.543344,0,0,0,84.4,2.01,0.0,0.0,0.0
44,3.67,1723908614.5433671,1723908614.6277485,0,0,0,84.4,2.01,0.0,0.0,0.0
45,3.75,1723908614.6277714,1723908614.7113397,0,0,0,84.4,2.01,0.0,0.0,0.0
46,3.83,1723908614.711363,1723908614.7959647,0,0,0,84.4,2.01,0.0,0.0,0.0
47,3.91,1723908614.795992,1723908614.8806756,0,0,0,84.4,2.01,0.0,0.0,0.0
48,3.99,1723908614.8806973,1723908614.9646273,0,0,0,84.4,2.01,0.0,0.0,0.0
49,4.07,1723908614.9646494,1723908615.0496218,0,0,0,84.4,2.01,0.0,0.0,0.0
50,4.15,1723908615.049645,1723908615.135116,0,0,0,84.4,2.01,0.0,0.0,0.0
51,4.24,1723908615.1351373,1723908615.219526,0,0,0,84.4,2.01,0.0,0.0,0.0
52,4.32,1723908615.2195497,1723908615.304703,0,0,0,84.4,2.01,0.0,0.0,0.0
53,4.41,1723908615.3047237,1723908615.389159,0,0,0,84.4,2.01,0.0,0.0,0.0
54,4.49,1723908615.3891814,1723908615.4736993,0,0,0,84.4,2.01,0.0,0.0,0.0
55,4.57,1723908615.4737222,1723908615.5590353,0,0,0,84.4,2.01,0.0,0.0,0.0
56,4.66,1723908615.5590558,1723908615.6439512,0,0,0,84.4,2.01,0.0,0.0,0.0
57,4.74,1723908615.6439724,1723908615.7283778,0,0,0,84.4,2.01,0.0,0.0,0.0
58,4.82,1723908615.7284005,1723908615.8124197,0,0,0,84.4,2.01,0.0,0.0,0.0
59,4.9,1723908615.8124452,1723908615.8963664,0,0,0,84.4,2.01,0.0,0.0,0.0
60,4.98,1723908615.8963883,1723908615.9811509,0,0,0,84.4,2.01,0.0,0.0,0.0
61,5.06,1723908615.9811735,1723908616.065129,0,0,0,84.4,2.01,0.0,0.0,0.0
62,5.14,1723908616.0651495,1723908616.15042,0,0,0,84.4,2.01,0.0,0.0,0.0
63,5.23,1723908616.1504426,1723908616.2358127,0,0,0,84.4,2.01,0.0,0.0,0.0
64,5.32,1723908616.2358334,1723908616.3201597,0,0,0,84.4,2.01,0.0,0.0,0.0
65,5.4,1723908616.320182,1723908616.404268,0,0,0,84.4,2.01,0.0,0.0,0.0
66,5.48,1723908616.404288,1723908616.489563,0,0,0,84.4,2.01,0.0,0.0,0.0
67,5.57,1723908616.4895833,1723908616.5756712,0,0,0,84.4,2.01,0.0,0.0,0.0
68,5.66,1723908616.5757122,1723908616.6681225,0,0,0,84.4,2.01,0.0,0.0,0.0
69,5.75,1723908616.668163,1723908616.7582617,0,0,0,84.4,2.01,0.0,0.0,0.0
70,5.84,1723908616.758303,1723908616.848499,0,0,0,84.4,2.01,0.0,0.0,0.0
71,5.93,1723908616.8485212,1723908616.921805,0,0,0,84.4,2.01,0.0,0.0,0.0
72,6.0,1723908616.9218225,1723908616.9931953,0,0,0,84.4,2.01,0.0,0.0,0.0
73,6.07,1723908616.9932296,1723908617.0694337,0,0,0,84.4,2.01,0.0,0.0,0.0
74,6.15,1723908617.0694554,1723908617.1551955,0,0,0,84.4,2.01,0.0,0.0,0.0
75,6.24,1723908617.1552167,1723908617.2406037,0,0,0,84.4,2.01,0.0,0.0,0.0
76,6.33,1723908617.2406251,1723908617.3255239,0,0,0,84.4,2.01,0.0,0.0,0.0
77,6.41,1723908617.325546,1723908617.4102712,0,0,0,84.4,2.01,0.0,0.0,0.0
78,6.49,1723908617.4102921,1723908617.4941964,0,0,0,84.4,2.01,0.0,0.0,0.0
79,6.57,1723908617.4942183,1723908617.5795002,0,0,0,84.4,2.01,0.0,0.0,0.0
80,6.66,1723908617.579522,1723908617.6640558,0,0,0,84.4,2.01,0.0,0.0,0.0
81,6.74,1723908617.6640763,1723908617.7483952,0,0,0,84.4,2.01,0.0,0.0,0.0
82,6.82,1723908617.7484171,1723908617.83253,0,0,0,84.4,2.01,0.0,0.0,0.0
83,6.9,1723908617.8325524,1723908617.9174554,0,0,0,84.4,2.01,0.0,0.0,0.0
84,6.98,1723908617.9174767,1723908618.000804,0,0,0,84.4,2.01,0.0,0.0,0.0
85,7.06,1723908618.0008252,1723908618.0854473,0,0,0,84.4,2.01,0.0,0.0,0.0
86,7.14,1723908618.0854692,1723908618.1706123,0,0,0,84.4,2.01,0.0,0.0,0.0
87,7.23,1723908618.1706338,1723908618.2546735,0,0,0,84.4,2.01,0.0,0.0,0.0
88,7.31,1723908618.2546957,1723908618.339778,0,0,0,84.4,2.01,0.0,0.0,0.0
89,7.4,1723908618.3398018,1723908618.424345,0,0,0,84.4,2.01,0.0,0.0,0.0
90,7.48,1723908618.4243672,1723908618.5086303,0,0,0,84.4,2.01,0.0,0.0,0.0
91,7.56,1723908618.508652,1723908618.5932107,0,0,0,84.4,2.01,0.0,0.0,0.0
92,7.64,1723908618.5932326,1723908618.677145,0,0,0,84.4,2.01,0.0,0.0,0.0
93,7.72,1723908618.677165,1723908618.7617202,0,0,0,84.4,2.01,0.0,0.0,0.0
94,7.8,1723908618.7617402,1723908618.845266,0,0,0,84.4,2.01,0.0,0.0,0.0
95,7.88,1723908618.8452876,1723908618.927576,0,0,0,84.4,2.01,0.0,0.0,0.0
96,7.96,1723908618.9275985,1723908619.0117106,0,0,0,84.4,2.01,0.0,0.0,0.0
97,8.04,1723908619.011733,1723908619.0950813,0,0,0,84.4,2.01,0.0,0.0,0.0
98,8.12,1723908619.0951025,1723908619.1784236,0,0,0,84.4,2.01,0.0,0.0,0.0
99,8.2,1723908619.1784437,1723908619.2628424,0,0,0,84.4,2.01,0.0,0.0,0.0
100,8.28,1723908619.2628636,1723908619.3471122,0,0,0,84.4,2.01,0.0,0.0,0.0
101,8.36,1723908619.347134,1723908619.4316363,0,0,0,84.4,2.01,0.0,0.0,0.0
102,8.44,1723908619.4316566,1723908619.5159132,0,0,0,84.4,2.01,0.0,0.0,0.0
103,8.52,1723908619.5159352,1723908619.601256,0,0,0,84.4,2.01,0.0,0.0,0.0
104,8.61,1723908619.6012766,1723908619.6865199,0,0,0,84.4,2.01,0.0,0.0,0.0
105,8.7,1723908619.6865413,1723908619.7717068,0,0,0,84.4,2.01,0.0,0.0,0.0
106,8.79,1723908619.7717276,1723908619.856484,0,0,0,84.4,2.01,0.0,0.0,0.0
107,8.87,1723908619.8565056,1723908619.9408586,0,0,0,84.4,2.01,0.0,0.0,0.0
108,8.95,1723908619.940881,1723908620.0252132,0,0,0,84.4,2.01,0.0,0.0,0.0
109,9.03,1723908620.0252352,1723908620.1102743,0,0,0,84.4,2.01,0.0,0.0,0.0
110,9.12,1723908620.1102953,1723908620.1947806,0,0,0,84.4,2.01,0.0,0.0,0.0
111,9.2,1723908620.1948032,1723908620.2793295,0,0,0,84.4,2.01,0.0,0.0,0.0
112,9.28,1723908620.2793508,1723908620.3639655,0,0,0,84.4,2.01,0.0,0.0,0.0
113,9.36,1723908620.363986,1723908620.448094,0,0,0,84.4,2.01,0.0,0.0,0.0
114,9.44,1723908620.4481149,1723908620.5327308,0,0,0,84.4,2.01,0.0,0.0,0.0
115,9.52,1723908620.5327554,1723908620.6176245,0,0,0,84.4,2.01,0.0,0.0,0.0
116,9.6,1723908620.6176457,1723908620.7021086,0,0,0,84.4,2.01,0.0,0.0,0.0
117,9.68,1723908620.7021308,1723908620.7873003,0,0,0,84.4,2.01,0.0,0.0,0.0
118,9.77,1723908620.7873232,1723908620.8721354,0,0,0,84.4,2.01,0.0,0.0,0.0
119,9.85,1723908620.872156,1723908620.956563,0,0,0,84.4,2.01,0.0,0.0,0.0
120,9.93,1723908620.956587,1723908621.040792,0,0,0,84.4,2.01,0.0,0.0,0.0
121,10.01,1723908621.040814,1723908621.126036,0,0,0,84.4,2.01,0.0,0.0,0.0
122,10.1,1723908621.1260571,1723908621.2106135,0,0,0,84.4,2.01,0.0,0.0,0.0
123,10.18,1723908621.210635,1723908621.2946892,0,0,0,84.4,2.01,0.0,0.0,0.0
124,10.26,1723908621.2947118,1723908621.3791783,0,0,0,84.4,2.01,0.0,0.0,0.0
125,10.34,1723908621.3792005,1723908621.4643128,0,0,0,84.4,2.01,0.0,0.0,0.0
126,10.43,1723908621.464334,1723908621.5489333,0,0,0,84.4,2.01,0.0,0.0,0.0
127,10.51,1723908621.5489569,1723908621.6350858,0,0,0,84.4,2.01,0.0,0.0,0.0
128,10.6,1723908621.6351295,1723908621.725211,0,0,0,84.4,2.01,0.0,0.0,0.0
129,10.69,1723908621.7252538,1723908621.8152332,0,0,0,84.4,2.01,0.0,0.0,0.0
130,10.78,1723908621.8152568,1723908621.8983247,0,0,0,84.4,2.01,0.0,0.0,0.0
131,10.86,1723908621.898344,1723908621.9705422,0,0,0,84.4,2.01,0.0,0.0,0.0
132,10.93,1723908621.970581,1723908622.0473566,0,0,0,84.4,2.01,0.0,0.0,0.0
133,11.01,1723908622.0473895,1723908622.132108,0,0,0,84.4,2.01,0.0,0.0,0.0
134,11.09,1723908622.1321306,1723908622.2159305,0,0,0,84.4,2.01,0.0,0.0,0.0
135,11.17,1723908622.2159522,1723908622.300659,0,0,0,84.4,2.01,0.0,0.0,0.0
136,11.25,1723908622.300683,1723908622.386278,0,0,0,84.4,2.01,0.0,0.0,0.0
137,11.34,1723908622.3862998,1723908622.4709356,0,0,0,84.4,2.01,0.0,0.0,0.0
138,11.42,1723908622.470958,1723908622.5557144,0,0,0,84.4,2.01,0.0,0.0,0.0
139,11.5,1723908622.5557375,1723908622.6405318,0,0,0,84.3,2.01,0.0,0.0,0.0
140,11.58,1723908622.6405537,1723908622.7247982,0,0,0,84.3,2.01,0.0,0.0,0.0
141,11.66,1723908622.7248204,1723908622.8089974,0,0,0,84.3,2.01,0.0,0.0,0.0
142,11.74,1723908622.8090215,1723908622.8938444,0,0,0,84.4,2.01,0.0,0.0,0.0
143,11.82,1723908622.8938677,1723908622.9780912,0,0,0,84.4,2.01,0.0,0.0,0.0
144,11.9,1723908622.978113,1723908623.0609732,0,0,0,84.4,2.01,0.0,0.0,0.0
145,11.98,1723908623.0609946,1723908623.1445978,0,0,0,84.4,2.01,0.0,0.0,0.0
146,12.06,1723908623.1446195,1723908623.2285175,0,0,0,84.4,2.01,0.0,0.0,0.0
147,12.14,1723908623.2285402,1723908623.3125381,0,0,0,84.4,2.01,0.0,0.0,0.0
148,12.22,1723908623.3125606,1723908623.3994453,0,0,0,84.4,2.01,0.0,0.0,0.0
149,12.31,1723908623.3994699,1723908623.4845455,0,0,0,84.4,2.01,0.0,0.0,0.0
150,12.4,1723908623.4845667,1723908623.5698133,0,0,0,84.4,2.01,0.0,0.0,0.0
151,12.49,1723908623.569834,1723908623.6553392,0,0,0,84.3,2.01,0.0,0.0,0.0
152,12.58,1723908623.6553617,1723908623.7399514,0,0,0,84.3,2.01,0.0,0.0,0.0
153,12.66,1723908623.7399724,1723908623.8253632,0,0,0,84.3,2.01,0.0,0.0,0.0
154,12.75,1723908623.825384,1723908623.910116,0,0,0,84.3,2.01,0.0,0.0,0.0
155,12.83,1723908623.9101372,1723908623.9946702,0,0,0,84.3,2.01,0.0,0.0,0.0
156,12.91,1723908623.9946945,1723908624.0802004,0,0,0,84.3,2.01,0.0,0.0,0.0
157,13.0,1723908624.080221,1723908624.1654692,0,0,0,84.3,2.01,0.0,0.0,0.0
158,13.09,1723908624.1654928,1723908624.250385,0,0,0,84.3,2.01,0.0,0.0,0.0
159,13.17,1723908624.2504048,1723908624.3355284,0,0,0,84.3,2.01,0.0,0.0,0.0
160,13.26,1723908624.33555,1723908624.4198992,0,0,0,84.3,2.01,0.0,0.0,0.0
161,13.34,1723908624.4199214,1723908624.504267,0,0,0,84.4,2.01,0.0,0.0,0.0
