,SimSec(s),StartTime(s),EndTime(s),QUEUE_LENGTH,OBJ_DETECT_REQ,MISSED_REQ,CPU_USAGE(%),MEM_USAGE(%),WAITING_IN_QUEUE(s),IMAGE_LOAD(s),OBJECT_DETECT(s)
0,0.0,1723905003.0992317,1723905003.1852748,0,0,0,73.0,1.96,0.0,0.0,0.0
1,0.09,1723905003.185296,1723905003.267154,0,0,0,73.8,1.96,0.0,0.0,0.0
2,0.17,1723905003.2671711,1723905003.3496735,0,0,0,74.4,1.96,0.0,0.0,0.0
3,0.25,1723905003.349692,1723905003.431237,0,0,0,75.1,1.96,0.0,0.0,0.0
4,0.33,1723905003.4312572,1723905003.5132854,0,0,0,75.7,1.96,0.0,0.0,0.0
5,0.41,1723905003.513303,1723905003.5942886,0,0,0,66.7,1.96,0.0,0.0,0.0
6,0.49,1723905003.5943084,1723905003.6762803,0,0,0,67.3,1.96,0.0,0.0,0.0
7,0.57,1723905003.6762984,1723905003.758808,0,0,0,67.8,1.96,0.0,0.0,0.0
8,0.65,1723905003.7588298,1723905003.841723,0,0,0,68.5,1.96,0.0,0.0,0.0
9,0.73,1723905003.8417423,1723905003.9236143,0,0,0,69.1,1.96,0.0,0.0,0.0
10,0.81,1723905003.923636,1723905004.006697,0,0,0,69.6,1.96,0.0,0.0,0.0
11,0.89,1723905004.0067198,1723905004.0898762,0,0,0,70.2,1.96,0.0,0.0,0.0
12,0.97,1723905004.0898979,1723905004.1715531,0,0,0,70.7,1.96,0.0,0.0,0.0
13,1.05,1723905004.1715727,1723905004.2541342,0,0,0,71.2,1.96,0.0,0.0,0.0
14,1.13,1723905004.254178,1723905004.3360293,0,0,0,71.8,1.96,0.0,0.0,0.0
15,1.21,1723905004.336049,1723905004.4186406,0,0,0,72.3,1.96,0.0,0.0,0.0
16,1.29,1723905004.4186604,1723905004.501532,0,0,0,73.0,1.96,0.0,0.0,0.0
17,1.37,1723905004.5015543,1723905004.5838122,0,0,0,65.3,1.96,0.0,0.0,0.0
18,1.45,1723905004.5838323,1723905004.666544,0,0,0,65.8,1.96,0.0,0.0,0.0
19,1.53,1723905004.6665626,1723905004.7490344,0,0,0,66.4,1.96,0.0,0.0,0.0
20,1.61,1723905004.7490554,1723905004.8311424,0,0,0,66.8,1.96,0.0,0.0,0.0
21,1.69,1723905004.8311617,1723905004.9134095,0,0,0,67.4,1.96,0.0,0.0,0.0
22,1.77,1723905004.9134507,1723905005.0003574,0,0,0,68.0,1.96,0.0,0.0,0.0
23,1.86,1723905005.0003781,1723905005.0827825,0,0,0,68.4,1.96,0.0,0.0,0.0
24,1.94,1723905005.082804,1723905005.1659696,0,0,0,69.0,1.96,0.0,0.0,0.0
25,2.02,1723905005.1659892,1723905005.2476304,0,0,0,69.4,1.96,0.0,0.0,0.0
26,2.1,1723905005.247653,1723905005.3302264,0,0,0,69.8,1.96,0.0,0.0,0.0
27,2.18,1723905005.330246,1723905005.4117959,0,0,0,70.3,1.96,0.0,0.0,0.0
28,2.26,1723905005.411818,1723905005.4942346,0,0,0,71.0,1.96,0.0,0.0,0.0
29,2.34,1723905005.4942577,1723905005.578436,0,0,0,71.4,1.96,0.0,0.0,0.0
30,2.42,1723905005.57847,1723905005.6646624,0,0,0,64.8,1.96,0.0,0.0,0.0
31,2.51,1723905005.664697,1723905005.7500818,0,0,0,65.3,1.96,0.0,0.0,0.0
32,2.6,1723905005.750121,1723905005.82826,0,0,0,65.8,1.96,0.0,0.0,0.0
33,2.68,1723905005.8282757,1723905005.8983939,0,0,0,66.2,1.96,0.0,0.0,0.0
34,2.75,1723905005.8984125,1723905005.9708319,0,0,0,66.6,1.96,0.0,0.0,0.0
35,2.82,1723905005.9708595,1723905006.0510504,0,0,0,67.0,1.96,0.0,0.0,0.0
36,2.9,1723905006.0510752,1723905006.133995,0,0,0,67.5,1.96,0.0,0.0,0.0
37,2.98,1723905006.1340144,1723905006.21568,0,0,0,67.9,1.96,0.0,0.0,0.0
38,3.06,1723905006.2157006,1723905006.2981384,0,0,0,68.4,1.96,0.0,0.0,0.0
39,3.14,1723905006.2981737,1723905006.379796,0,0,0,68.8,1.96,0.0,0.0,0.0
40,3.22,1723905006.3798182,1723905006.4611347,0,0,0,69.3,1.96,0.0,0.0,0.0
41,3.3,1723905006.461156,1723905006.5429187,0,0,0,69.7,1.96,0.0,0.0,0.0
42,3.38,1723905006.542939,1723905006.6272907,0,0,0,63.8,1.96,0.0,0.0,0.0
43,3.46,1723905006.6273108,1723905006.7103412,0,0,0,64.1,1.96,0.0,0.0,0.0
44,3.54,1723905006.7103624,1723905006.7928157,0,0,0,64.6,1.96,0.0,0.0,0.0
45,3.62,1723905006.7928362,1723905006.875218,0,0,0,65.0,1.96,0.0,0.0,0.0
46,3.7,1723905006.8752394,1723905006.9582646,0,0,0,65.4,1.96,0.0,0.0,0.0
47,3.78,1723905006.9582863,1723905007.0395584,0,0,0,65.8,1.96,0.0,0.0,0.0
48,3.86,1723905007.039578,1723905007.1227243,0,0,0,66.2,1.96,0.0,0.0,0.0
49,3.94,1723905007.1227472,1723905007.2058022,0,0,0,66.6,1.96,0.0,0.0,0.0
50,4.02,1723905007.2058206,1723905007.2880611,0,0,0,67.0,1.96,0.0,0.0,0.0
51,4.1,1723905007.28808,1723905007.3701282,0,0,0,67.4,1.96,0.0,0.0,0.0
52,4.18,1723905007.370165,1723905007.453456,0,0,0,67.8,1.96,0.0,0.0,0.0
53,4.26,1723905007.453473,1723905007.534846,0,0,0,68.2,1.96,0.0,0.0,0.0
54,4.34,1723905007.5348656,1723905007.617378,0,0,0,62.9,1.96,0.0,0.0,0.0
55,4.42,1723905007.6173968,1723905007.7002406,0,0,0,63.3,1.96,0.0,0.0,0.0
56,4.5,1723905007.7002614,1723905007.7827284,0,0,0,63.7,1.96,0.0,0.0,0.0
57,4.58,1723905007.7827468,1723905007.865435,0,0,0,64.1,1.96,0.0,0.0,0.0
58,4.66,1723905007.8654537,1723905007.9472878,0,0,0,64.5,1.96,0.0,0.0,0.0
59,4.74,1723905007.9473085,1723905008.0300927,0,0,0,64.8,1.96,0.0,0.0,0.0
60,4.82,1723905008.030113,1723905008.11312,0,0,0,65.2,1.96,0.0,0.0,0.0
61,4.9,1723905008.1131399,1723905008.1948564,0,0,0,65.5,1.96,0.0,0.0,0.0
62,4.98,1723905008.194879,1723905008.2779267,0,0,0,66.0,1.96,0.0,0.0,0.0
63,5.06,1723905008.2779458,1723905008.360364,0,0,0,66.3,1.96,0.0,0.0,0.0
64,5.14,1723905008.3603826,1723905008.4430118,0,0,0,66.6,1.96,0.0,0.0,0.0
65,5.22,1723905008.4430296,1723905008.5258932,0,0,0,67.0,1.96,0.0,0.0,0.0
66,5.3,1723905008.525913,1723905008.6075928,0,0,0,62.3,1.96,0.0,0.0,0.0
67,5.38,1723905008.6076112,1723905008.6900904,0,0,0,62.6,1.96,0.0,0.0,0.0
68,5.46,1723905008.6901102,1723905008.7719648,0,0,0,63.0,1.96,0.0,0.0,0.0
69,5.54,1723905008.7719843,1723905008.854455,0,0,0,63.3,1.96,0.0,0.0,0.0
70,5.62,1723905008.8544748,1723905008.9373934,0,0,0,63.6,1.96,0.0,0.0,0.0
71,5.7,1723905008.9374108,1723905009.019193,0,0,0,64.0,1.96,0.0,0.0,0.0
72,5.78,1723905009.0192118,1723905009.101876,0,0,0,64.3,1.96,0.0,0.0,0.0
73,5.86,1723905009.1018972,1723905009.1837137,0,0,0,64.6,1.96,0.0,0.0,0.0
74,5.94,1723905009.183734,1723905009.265916,0,0,0,65.0,1.96,0.0,0.0,0.0
75,6.02,1723905009.2659354,1723905009.348029,0,0,0,65.3,1.96,0.0,0.0,0.0
76,6.1,1723905009.3480496,1723905009.4308288,0,0,0,65.6,1.96,0.0,0.0,0.0
77,6.18,1723905009.4308467,1723905009.5115275,0,0,0,66.0,1.96,0.0,0.0,0.0
78,6.26,1723905009.5115476,1723905009.5944595,0,0,0,61.6,1.96,0.0,0.0,0.0
79,6.34,1723905009.594478,1723905009.67703,0,0,0,62.0,1.96,0.0,0.0,0.0
80,6.42,1723905009.6770504,1723905009.7592456,0,0,0,62.3,1.96,0.0,0.0,0.0
81,6.5,1723905009.759263,1723905009.8416376,0,0,0,62.6,1.96,0.0,0.0,0.0
82,6.58,1723905009.8416584,1723905009.9235318,0,0,0,62.9,1.96,0.0,0.0,0.0
83,6.66,1723905009.9235516,1723905010.0064301,0,0,0,63.2,1.96,0.0,0.0,0.0
84,6.74,1723905010.0064497,1723905010.0900297,0,0,0,63.5,1.96,0.0,0.0,0.0
85,6.82,1723905010.0900495,1723905010.1720273,0,0,0,63.9,1.96,0.0,0.0,0.0
86,6.9,1723905010.1720464,1723905010.2544496,0,0,0,64.2,1.96,0.0,0.0,0.0
87,6.98,1723905010.254469,1723905010.3375146,0,0,0,64.5,1.96,0.0,0.0,0.0
88,7.06,1723905010.3375351,1723905010.4194448,0,0,0,64.9,1.96,0.0,0.0,0.0
89,7.14,1723905010.4194634,1723905010.5025125,0,0,0,65.2,1.96,0.0,0.0,0.0
90,7.22,1723905010.5025318,1723905010.584282,0,0,0,61.2,1.96,0.0,0.0,0.0
91,7.3,1723905010.5843115,1723905010.6707504,0,0,0,61.5,1.96,0.0,0.0,0.0
92,7.39,1723905010.6707866,1723905010.7570882,0,0,0,61.8,1.96,0.0,0.0,0.0
93,7.48,1723905010.7571197,1723905010.8437352,0,0,0,62.1,1.96,0.0,0.0,0.0
94,7.57,1723905010.843756,1723905010.9137557,0,0,0,62.4,1.96,0.0,0.0,0.0
95,7.64,1723905010.9137712,1723905010.9835823,0,0,0,62.6,1.96,0.0,0.0,0.0
