,SimSec(s),StartTime(s),EndTime(s),QUEUE_LENGTH,OBJ_DETECT_REQ,MISSED_REQ,CPU_USAGE(%),MEM_USAGE(%),WAITING_IN_QUEUE(s),IMAGE_LOAD(s),OBJECT_DETECT(s)
0,0.0,1723930534.1224706,1723930534.2042441,0,0,0,73.5,2.02,0.0,0.0,0.0
1,0.08,1723930534.2042677,1723930534.2875946,0,0,0,73.5,2.02,0.0,0.0,0.0
2,0.16,1723930534.287616,1723930534.370902,0,0,0,73.5,2.02,0.0,0.0,0.0
3,0.24,1723930534.3709226,1723930534.45497,0,0,0,73.5,2.02,0.0,0.0,0.0
4,0.32,1723930534.4549901,1723930534.5386753,0,0,0,73.5,2.02,0.0,0.0,0.0
5,0.4,1723930534.5386992,1723930534.6231272,0,0,0,73.5,2.02,0.0,0.0,0.0
6,0.48,1723930534.6231506,1723930534.707191,0,0,0,73.5,2.02,0.0,0.0,0.0
7,0.56,1723930534.7072139,1723930534.7911224,0,0,0,73.5,2.02,0.0,0.0,0.0
8,0.64,1723930534.7911441,1723930534.8746831,0,0,0,73.5,2.02,0.0,0.0,0.0
9,0.72,1723930534.8747096,1723930534.9590244,0,0,0,73.5,2.02,0.0,0.0,0.0
10,0.8,1723930534.9590461,1723930535.042934,0,0,0,73.5,2.02,0.0,0.0,0.0
11,0.88,1723930535.0429575,1723930535.1267693,0,0,0,73.5,2.02,0.0,0.0,0.0
12,0.96,1723930535.1267946,1723930535.210377,0,0,0,73.5,2.02,0.0,0.0,0.0
13,1.04,1723930535.2103992,1723930535.293685,0,0,0,73.5,2.02,0.0,0.0,0.0
14,1.12,1723930535.293707,1723930535.3776503,0,0,0,73.5,2.02,0.0,0.0,0.0
15,1.2,1723930535.3776736,1723930535.4599655,0,0,0,73.5,2.02,0.0,0.0,0.0
16,1.28,1723930535.4599898,1723930535.5428162,0,0,0,73.5,2.02,0.0,0.0,0.0
17,1.36,1723930535.5428412,1723930535.6273549,0,0,0,73.5,2.02,0.0,0.0,0.0
18,1.44,1723930535.6273758,1723930535.7103462,0,0,0,73.5,2.02,0.0,0.0,0.0
19,1.52,1723930535.7103693,1723930535.7939808,0,0,0,73.5,2.02,0.0,0.0,0.0
20,1.6,1723930535.7940018,1723930535.8772595,0,0,0,73.5,2.02,0.0,0.0,0.0
21,1.68,1723930535.8772826,1723930535.9602647,0,0,0,73.5,2.02,0.0,0.0,0.0
22,1.76,1723930535.9602861,1723930536.0489645,0,0,0,73.5,2.02,0.0,0.0,0.0
23,1.85,1723930536.0490077,1723930536.139636,0,0,0,73.5,2.02,0.0,0.0,0.0
24,1.94,1723930536.1396601,1723930536.223357,0,0,0,73.5,2.02,0.0,0.0,0.0
25,2.02,1723930536.2233775,1723930536.307116,0,0,0,73.5,2.02,0.0,0.0,0.0
26,2.1,1723930536.30714,1723930536.391828,0,0,0,73.5,2.02,0.0,0.0,0.0
27,2.18,1723930536.3918493,1723930536.4757316,0,0,0,73.5,2.02,0.0,0.0,0.0
28,2.26,1723930536.4757555,1723930536.5593817,0,0,0,73.5,2.02,0.0,0.0,0.0
29,2.34,1723930536.5594063,1723930536.6426904,0,0,0,73.5,2.02,0.0,0.0,0.0
30,2.42,1723930536.642717,1723930536.7269685,0,0,0,73.5,2.02,0.0,0.0,0.0
31,2.5,1723930536.7269928,1723930536.8110836,0,0,0,73.5,2.02,0.0,0.0,0.0
32,2.58,1723930536.8111074,1723930536.8950727,0,0,0,73.5,2.02,0.0,0.0,0.0
33,2.66,1723930536.8950963,1723930536.9792604,0,0,0,73.5,2.02,0.0,0.0,0.0
34,2.74,1723930536.9792836,1723930537.06287,0,0,0,73.5,2.02,0.0,0.0,0.0
35,2.82,1723930537.0628939,1723930537.1467648,0,0,0,73.5,2.02,0.0,0.0,0.0
36,2.9,1723930537.1467931,1723930537.2307894,0,0,0,73.5,2.02,0.0,0.0,0.0
37,2.98,1723930537.2308176,1723930537.3148708,0,0,0,73.5,2.02,0.0,0.0,0.0
38,3.06,1723930537.3148956,1723930537.3991392,0,0,0,73.5,2.02,0.0,0.0,0.0
39,3.14,1723930537.3991625,1723930537.4827282,0,0,0,73.5,2.02,0.0,0.0,0.0
40,3.22,1723930537.4827523,1723930537.5666249,0,0,0,73.5,2.02,0.0,0.0,0.0
41,3.3,1723930537.5666716,1723930537.6590939,0,0,0,73.5,2.02,0.0,0.0,0.0
42,3.39,1723930537.6591403,1723930537.749174,0,0,0,73.5,2.02,0.0,0.0,0.0
43,3.48,1723930537.749223,1723930537.8396177,0,0,0,73.5,2.02,0.0,0.0,0.0
44,3.57,1723930537.8396454,1723930537.9109375,0,0,0,73.5,2.02,0.0,0.0,0.0
45,3.64,1723930537.9109585,1723930537.9825182,0,0,0,73.5,2.02,0.0,0.0,0.0
46,3.71,1723930537.9825535,1723930538.0592597,0,0,0,73.5,2.02,0.0,0.0,0.0
47,3.79,1723930538.059287,1723930538.142745,0,0,0,73.5,2.02,0.0,0.0,0.0
48,3.87,1723930538.142771,1723930538.2264338,0,0,0,73.5,2.02,0.0,0.0,0.0
49,3.95,1723930538.2264574,1723930538.310691,0,0,0,73.5,2.02,0.0,0.0,0.0
50,4.03,1723930538.3107162,1723930538.394828,0,0,0,73.5,2.02,0.0,0.0,0.0
51,4.11,1723930538.394853,1723930538.4788435,0,0,0,73.5,2.02,0.0,0.0,0.0
52,4.19,1723930538.4788706,1723930538.562655,0,0,0,73.5,2.02,0.0,0.0,0.0
53,4.27,1723930538.5626779,1723930538.6466694,0,0,0,73.5,2.02,0.0,0.0,0.0
54,4.35,1723930538.646698,1723930538.7308006,0,0,0,73.5,2.02,0.0,0.0,0.0
55,4.43,1723930538.7308247,1723930538.8149776,0,0,0,73.5,2.02,0.0,0.0,0.0
56,4.51,1723930538.8150027,1723930538.8990421,0,0,0,73.5,2.02,0.0,0.0,0.0
57,4.59,1723930538.899066,1723930538.9825878,0,0,0,73.5,2.02,0.0,0.0,0.0
58,4.67,1723930538.9826114,1723930539.0673552,0,0,0,73.5,2.02,0.0,0.0,0.0
59,4.75,1723930539.06738,1723930539.1514876,0,0,0,73.5,2.02,0.0,0.0,0.0
60,4.83,1723930539.15151,1723930539.234976,0,0,0,73.5,2.02,0.0,0.0,0.0
61,4.91,1723930539.2350004,1723930539.3185577,0,0,0,73.5,2.02,0.0,0.0,0.0
62,4.99,1723930539.3185835,1723930539.4025695,0,0,0,73.5,2.02,0.0,0.0,0.0
63,5.07,1723930539.4025934,1723930539.486448,0,0,0,73.5,2.02,0.0,0.0,0.0
64,5.15,1723930539.4864726,1723930539.5705106,0,0,0,73.5,2.02,0.0,0.0,0.0
65,5.23,1723930539.5705345,1723930539.6545765,0,0,0,73.5,2.02,0.0,0.0,0.0
66,5.31,1723930539.6545994,1723930539.7387195,0,0,0,73.5,2.02,0.0,0.0,0.0
