,SimSec(s),StartTime(s),EndTime(s),QUEUE_LENGTH,OBJ_DETECT_REQ,MISSED_REQ,CPU_USAGE(%),MEM_USAGE(%),WAITING_IN_QUEUE(s),IMAGE_LOAD(s),OBJECT_DETECT(s)
0,0.0,1723804454.892249,1723804454.9702787,0,0,0,72.1,1.96,0.0,0.0,0.0
1,0.08,1723804454.9702988,1723804455.0455434,0,0,0,72.7,1.96,0.0,0.0,0.0
2,0.16,1723804455.0455637,1723804455.1204944,0,0,0,73.2,1.96,0.0,0.0,0.0
3,0.23,1723804455.1205134,1723804455.1954803,0,0,0,73.8,1.96,0.0,0.0,0.0
4,0.3,1723804455.1955006,1723804455.2711294,0,0,0,74.4,1.96,0.0,0.0,0.0
5,0.38,1723804455.2711484,1723804455.3467455,0,0,0,75.0,1.96,0.0,0.0,0.0
6,0.46,1723804455.3467655,1723804455.422469,0,0,0,75.5,1.96,0.0,0.0,0.0
7,0.54,1723804455.4224865,1723804455.498608,0,0,0,76.2,1.96,0.0,0.0,0.0
8,0.62,1723804455.4986286,1723804455.5743139,0,0,0,76.8,1.96,0.0,0.0,0.0
9,0.7,1723804455.5743322,1723804455.6504302,0,0,0,67.7,1.96,0.0,0.0,0.0
10,0.78,1723804455.6504517,1723804455.725981,0,0,0,68.3,1.96,0.0,0.0,0.0
11,0.86,1723804455.7259996,1723804455.8021066,0,0,0,68.7,1.96,0.0,0.0,0.0
12,0.94,1723804455.802128,1723804455.8782094,0,0,0,69.3,1.96,0.0,0.0,0.0
13,1.02,1723804455.878231,1723804455.9546487,0,0,0,69.8,1.96,0.0,0.0,0.0
14,1.1,1723804455.9546711,1723804456.0297592,0,0,0,70.3,1.96,0.0,0.0,0.0
15,1.18,1723804456.0297797,1723804456.1049802,0,0,0,70.8,1.96,0.0,0.0,0.0
16,1.26,1723804456.105002,1723804456.1807623,0,0,0,71.3,1.96,0.0,0.0,0.0
17,1.34,1723804456.180785,1723804456.256325,0,0,0,72.0,1.96,0.0,0.0,0.0
18,1.42,1723804456.2563448,1723804456.331588,0,0,0,72.5,1.96,0.0,0.0,0.0
19,1.5,1723804456.3316076,1723804456.4071658,0,0,0,73.0,1.96,0.0,0.0,0.0
20,1.58,1723804456.4071856,1723804456.4833171,0,0,0,73.3,1.96,0.0,0.0,0.0
21,1.66,1723804456.4833357,1723804456.5580866,0,0,0,74.1,1.96,0.0,0.0,0.0
22,1.73,1723804456.5581253,1723804456.6387544,0,0,0,66.2,1.96,0.0,0.0,0.0
23,1.81,1723804456.6387765,1723804456.7145696,0,0,0,66.7,1.96,0.0,0.0,0.0
24,1.89,1723804456.7145905,1723804456.7902923,0,0,0,67.2,1.96,0.0,0.0,0.0
