,SimSec(s),StartTime(s),EndTime(s),QUEUE_LENGTH,OBJ_DETECT_REQ,MISSED_REQ,CPU_USAGE(%),MEM_USAGE(%),WAITING_IN_QUEUE(s),IMAGE_LOAD(s),OBJECT_DETECT(s)
0,0.0,1723768346.7082107,1723768346.7738733,0,0,0,67.1,2.02,0.0,0.0,0.0
1,0.07,1723768346.7738957,1723768346.8500733,0,0,0,67.1,2.02,0.0,0.0,0.0
2,0.15,1723768346.8500938,1723768346.926831,0,0,0,67.1,2.02,0.0,0.0,0.0
3,0.23,1723768346.9268515,1723768347.0023675,0,0,0,67.1,2.02,0.0,0.0,0.0
4,0.31,1723768347.0023882,1723768347.0786264,0,0,0,67.1,2.02,0.0,0.0,0.0
5,0.39,1723768347.0786555,1723768347.1543903,0,0,0,67.1,2.02,0.0,0.0,0.0
6,0.47,1723768347.1544106,1723768347.2305562,0,0,0,67.1,2.02,0.0,0.0,0.0
7,0.55,1723768347.2305777,1723768347.3067114,0,0,0,67.1,2.02,0.0,0.0,0.0
8,0.63,1723768347.3067338,1723768347.3829482,0,0,0,67.1,2.02,0.0,0.0,0.0
9,0.71,1723768347.3829691,1723768347.4591346,0,0,0,67.1,2.02,0.0,0.0,0.0
10,0.79,1723768347.459155,1723768347.5343175,0,0,0,67.1,2.02,0.0,0.0,0.0
11,0.87,1723768347.5343578,1723768347.6158857,0,0,0,67.1,2.02,0.0,0.0,0.0
12,0.95,1723768347.615923,1723768347.6933453,0,0,0,67.1,2.02,0.0,0.0,0.0
13,1.03,1723768347.693363,1723768347.7583876,0,0,0,67.1,2.02,0.0,0.0,0.0
14,1.1,1723768347.7584064,1723768347.825946,0,0,0,67.1,2.02,0.0,0.0,0.0
15,1.17,1723768347.8259702,1723768347.9020054,0,0,0,67.1,2.02,0.0,0.0,0.0
16,1.25,1723768347.902027,1723768347.9767566,0,0,0,67.1,2.02,0.0,0.0,0.0
17,1.32,1723768347.976778,1723768348.0520203,0,0,0,67.1,2.02,0.0,0.0,0.0
