,SimSec(s),StartTime(s),EndTime(s),QUEUE_LENGTH,OBJ_DETECT_REQ,MISSED_REQ,CPU_USAGE(%),MEM_USAGE(%),WAITING_IN_QUEUE(s),IMAGE_LOAD(s),OBJECT_DETECT(s)
0,0.0,1723789766.3686218,1723789766.4393024,0,0,0,72.1,2.02,0.0,0.0,0.0
1,0.07,1723789766.4393282,1723789766.5110528,0,0,0,72.1,2.02,0.0,0.0,0.0
2,0.14,1723789766.5110784,1723789766.5836668,0,0,0,72.1,2.02,0.0,0.0,0.0
3,0.21,1723789766.5836892,1723789766.6574879,0,0,0,72.1,2.02,0.0,0.0,0.0
4,0.28,1723789766.6575089,1723789766.7305663,0,0,0,72.1,2.02,0.0,0.0,0.0
5,0.35,1723789766.7305868,1723789766.804638,0,0,0,72.1,2.02,0.0,0.0,0.0
6,0.42,1723789766.804658,1723789766.8776858,0,0,0,72.1,2.02,0.0,0.0,0.0
7,0.49,1723789766.8777063,1723789766.9508705,0,0,0,72.1,2.02,0.0,0.0,0.0
8,0.56,1723789766.9508915,1723789767.0234065,0,0,0,72.1,2.02,0.0,0.0,0.0
9,0.63,1723789767.023427,1723789767.0969253,0,0,0,72.1,2.02,0.0,0.0,0.0
10,0.7,1723789767.096948,1723789767.1700482,0,0,0,72.1,2.02,0.0,0.0,0.0
11,0.77,1723789767.1700697,1723789767.2426665,0,0,0,72.1,2.02,0.0,0.0,0.0
12,0.84,1723789767.242691,1723789767.3171072,0,0,0,72.1,2.02,0.0,0.0,0.0
13,0.91,1723789767.3171275,1723789767.3903906,0,0,0,72.1,2.02,0.0,0.0,0.0
14,0.98,1723789767.3904114,1723789767.4630098,0,0,0,72.1,2.02,0.0,0.0,0.0
15,1.05,1723789767.4630296,1723789767.5366454,0,0,0,72.1,2.02,0.0,0.0,0.0
16,1.12,1723789767.5366664,1723789767.610742,0,0,0,72.1,2.02,0.0,0.0,0.0
17,1.19,1723789767.6107666,1723789767.6828256,0,0,0,72.1,2.02,0.0,0.0,0.0
18,1.26,1723789767.6828463,1723789767.755652,0,0,0,72.1,2.02,0.0,0.0,0.0
19,1.33,1723789767.755672,1723789767.8291802,0,0,0,72.1,2.02,0.0,0.0,0.0
20,1.4,1723789767.8292027,1723789767.9026084,0,0,0,72.1,2.02,0.0,0.0,0.0
21,1.47,1723789767.9026313,1723789767.9788172,0,0,0,72.1,2.02,0.0,0.0,0.0
22,1.55,1723789767.9788399,1723789768.0515835,0,0,0,72.1,2.02,0.0,0.0,0.0
23,1.62,1723789768.0516047,1723789768.1252086,0,0,0,72.1,2.02,0.0,0.0,0.0
24,1.69,1723789768.125229,1723789768.1977801,0,0,0,72.1,2.02,0.0,0.0,0.0
25,1.76,1723789768.1978016,1723789768.270226,0,0,0,72.1,2.02,0.0,0.0,0.0
26,1.83,1723789768.270248,1723789768.3426852,0,0,0,72.1,2.02,0.0,0.0,0.0
27,1.9,1723789768.3427088,1723789768.4163604,0,0,0,72.1,2.02,0.0,0.0,0.0
28,1.97,1723789768.416384,1723789768.4896939,0,0,0,72.1,2.02,0.0,0.0,0.0
29,2.04,1723789768.4897163,1723789768.5625982,0,0,0,72.1,2.02,0.0,0.0,0.0
30,2.11,1723789768.5626223,1723789768.6358328,0,0,0,72.1,2.02,0.0,0.0,0.0
31,2.18,1723789768.635855,1723789768.7091062,0,0,0,72.1,2.02,0.0,0.0,0.0
32,2.25,1723789768.7091298,1723789768.7824852,0,0,0,72.1,2.02,0.0,0.0,0.0
33,2.32,1723789768.7825089,1723789768.855124,0,0,0,72.1,2.02,0.0,0.0,0.0
34,2.39,1723789768.8551471,1723789768.926381,0,0,0,72.1,2.02,0.0,0.0,0.0
35,2.46,1723789768.926403,1723789768.998881,0,0,0,72.1,2.02,0.0,0.0,0.0
36,2.53,1723789768.998908,1723789769.0738916,0,0,0,72.1,2.02,0.0,0.0,0.0
37,2.6,1723789769.0739155,1723789769.1470413,0,0,0,72.1,2.02,0.0,0.0,0.0
38,2.67,1723789769.1470654,1723789769.2204554,0,0,0,72.1,2.02,0.0,0.0,0.0
39,2.74,1723789769.2204792,1723789769.2935722,0,0,0,72.1,2.02,0.0,0.0,0.0
40,2.81,1723789769.2935965,1723789769.366443,0,0,0,72.1,2.02,0.0,0.0,0.0
41,2.88,1723789769.3664653,1723789769.439208,0,0,0,72.1,2.02,0.0,0.0,0.0
42,2.95,1723789769.4392304,1723789769.5105686,0,0,0,72.1,2.02,0.0,0.0,0.0
43,3.02,1723789769.510593,1723789769.5841212,0,0,0,72.1,2.02,0.0,0.0,0.0
44,3.09,1723789769.5841463,1723789769.6564534,0,0,0,72.1,2.02,0.0,0.0,0.0
45,3.16,1723789769.656476,1723789769.7289755,0,0,0,72.1,2.02,0.0,0.0,0.0
46,3.23,1723789769.728999,1723789769.8020277,0,0,0,72.1,2.02,0.0,0.0,0.0
47,3.3,1723789769.8020542,1723789769.8744245,0,0,0,72.1,2.02,0.0,0.0,0.0
48,3.37,1723789769.8744483,1723789769.946822,0,0,0,72.1,2.02,0.0,0.0,0.0
49,3.44,1723789769.9468458,1723789770.0195441,0,0,0,72.1,2.02,0.0,0.0,0.0
50,3.51,1723789770.0195663,1723789770.092865,0,0,0,72.1,2.02,0.0,0.0,0.0
51,3.58,1723789770.0928876,1723789770.1660154,0,0,0,72.1,2.02,0.0,0.0,0.0
52,3.65,1723789770.1660383,1723789770.2386088,0,0,0,72.1,2.02,0.0,0.0,0.0
53,3.72,1723789770.238632,1723789770.3121164,0,0,0,72.1,2.02,0.0,0.0,0.0
54,3.79,1723789770.31214,1723789770.3855205,0,0,0,72.1,2.02,0.0,0.0,0.0
55,3.86,1723789770.385543,1723789770.458281,0,0,0,72.1,2.02,0.0,0.0,0.0
56,3.93,1723789770.458304,1723789770.5305192,0,0,0,72.1,2.02,0.0,0.0,0.0
57,4.0,1723789770.5305433,1723789770.6031775,0,0,0,72.1,2.02,0.0,0.0,0.0
58,4.07,1723789770.6032,1723789770.676691,0,0,0,72.1,2.02,0.0,0.0,0.0
59,4.14,1723789770.6767156,1723789770.7492495,0,0,0,72.1,2.02,0.0,0.0,0.0
60,4.21,1723789770.7492807,1723789770.8265164,0,0,0,72.1,2.02,0.0,0.0,0.0
61,4.29,1723789770.8265562,1723789770.903123,0,0,0,72.1,2.02,0.0,0.0,0.0
62,4.37,1723789770.903143,1723789770.9661906,0,0,0,72.1,2.02,0.0,0.0,0.0
63,4.43,1723789770.966209,1723789771.0294626,0,0,0,72.1,2.02,0.0,0.0,0.0
64,4.49,1723789771.0294821,1723789771.0991583,0,0,0,72.1,2.02,0.0,0.0,0.0
65,4.56,1723789771.0991802,1723789771.1725175,0,0,0,72.1,2.02,0.0,0.0,0.0
66,4.63,1723789771.17254,1723789771.245334,0,0,0,72.1,2.02,0.0,0.0,0.0
67,4.7,1723789771.2453575,1723789771.3178887,0,0,0,72.1,2.02,0.0,0.0,0.0
68,4.77,1723789771.3179111,1723789771.3910224,0,0,0,72.1,2.02,0.0,0.0,0.0
69,4.84,1723789771.3910449,1723789771.4644873,0,0,0,72.1,2.02,0.0,0.0,0.0
70,4.91,1723789771.4645092,1723789771.5374231,0,0,0,72.1,2.02,0.0,0.0,0.0
71,4.98,1723789771.5374477,1723789771.6103122,0,0,0,72.1,2.02,0.0,0.0,0.0
72,5.05,1723789771.6103363,1723789771.6829734,0,0,0,72.1,2.02,0.0,0.0,0.0
73,5.12,1723789771.6829977,1723789771.7566218,0,0,0,72.1,2.02,0.0,0.0,0.0
74,5.19,1723789771.7566433,1723789771.8297603,0,0,0,72.1,2.02,0.0,0.0,0.0
75,5.26,1723789771.8297806,1723789771.9021327,0,0,0,72.1,2.02,0.0,0.0,0.0
76,5.33,1723789771.9021716,1723789771.9749298,0,0,0,72.1,2.02,0.0,0.0,0.0
77,5.4,1723789771.974951,1723789772.0488439,0,0,0,72.1,2.02,0.0,0.0,0.0
78,5.47,1723789772.0488663,1723789772.1224244,0,0,0,72.1,2.02,0.0,0.0,0.0
79,5.54,1723789772.1224468,1723789772.194624,0,0,0,72.1,2.02,0.0,0.0,0.0
80,5.61,1723789772.1946468,1723789772.2677183,0,0,0,72.1,2.02,0.0,0.0,0.0
81,5.68,1723789772.267741,1723789772.3406608,0,0,0,72.1,2.02,0.0,0.0,0.0
82,5.75,1723789772.3406823,1723789772.4135935,0,0,0,72.1,2.02,0.0,0.0,0.0
83,5.82,1723789772.4136145,1723789772.48558,0,0,0,72.1,2.02,0.0,0.0,0.0
84,5.89,1723789772.4856033,1723789772.5583043,0,0,0,72.1,2.02,0.0,0.0,0.0
85,5.96,1723789772.5583262,1723789772.630933,0,0,0,72.1,2.02,0.0,0.0,0.0
86,6.03,1723789772.630955,1723789772.7044215,0,0,0,72.1,2.02,0.0,0.0,0.0
87,6.1,1723789772.7044435,1723789772.777392,0,0,0,72.1,2.02,0.0,0.0,0.0
88,6.17,1723789772.7774155,1723789772.8504188,0,0,0,72.1,2.02,0.0,0.0,0.0
89,6.24,1723789772.850445,1723789772.9228084,0,0,0,72.1,2.02,0.0,0.0,0.0
90,6.31,1723789772.9228332,1723789772.9960847,0,0,0,72.1,2.02,0.0,0.0,0.0
91,6.38,1723789772.9961057,1723789773.0689354,0,0,0,72.1,2.02,0.0,0.0,0.0
92,6.45,1723789773.0689592,1723789773.142251,0,0,0,72.1,2.02,0.0,0.0,0.0
93,6.52,1723789773.142273,1723789773.2149668,0,0,0,72.1,2.02,0.0,0.0,0.0
94,6.59,1723789773.214989,1723789773.287366,0,0,0,72.1,2.02,0.0,0.0,0.0
95,6.66,1723789773.2873893,1723789773.3608644,0,0,0,72.1,2.02,0.0,0.0,0.0
96,6.73,1723789773.360888,1723789773.433197,0,0,0,72.1,2.02,0.0,0.0,0.0
97,6.8,1723789773.4332197,1723789773.506032,0,0,0,72.1,2.02,0.0,0.0,0.0
