,SimSec(s),StartTime(s),EndTime(s),QUEUE_LENGTH,OBJ_DETECT_REQ,MISSED_REQ,CPU_USAGE(%),MEM_USAGE(%),WAITING_IN_QUEUE(s),IMAGE_LOAD(s),OBJECT_DETECT(s)
0,0.0,1723811498.667477,1723811498.744821,0,0,0,60.3,2.02,0.0,0.0,0.0
1,0.08,1723811498.7448442,1723811498.8223875,0,0,0,60.3,2.02,0.0,0.0,0.0
2,0.16,1723811498.8224084,1723811498.900299,0,0,0,60.3,2.02,0.0,0.0,0.0
3,0.24,1723811498.9003217,1723811498.978886,0,0,0,60.3,2.02,0.0,0.0,0.0
4,0.32,1723811498.9789083,1723811499.0572405,0,0,0,60.3,2.02,0.0,0.0,0.0
5,0.4,1723811499.0572617,1723811499.136283,0,0,0,60.3,2.02,0.0,0.0,0.0
6,0.48,1723811499.1363022,1723811499.2140179,0,0,0,60.3,2.02,0.0,0.0,0.0
7,0.56,1723811499.2140398,1723811499.2936833,0,0,0,60.3,2.02,0.0,0.0,0.0
8,0.64,1723811499.2937067,1723811499.3722274,0,0,0,60.3,2.02,0.0,0.0,0.0
9,0.72,1723811499.3722494,1723811499.4499073,0,0,0,60.3,2.02,0.0,0.0,0.0
10,0.8,1723811499.4499266,1723811499.5281456,0,0,0,60.3,2.02,0.0,0.0,0.0
11,0.88,1723811499.5281696,1723811499.606067,0,0,0,60.3,2.02,0.0,0.0,0.0
12,0.96,1723811499.6060874,1723811499.6851065,0,0,0,60.3,2.02,0.0,0.0,0.0
13,1.04,1723811499.6851282,1723811499.7632213,0,0,0,60.3,2.02,0.0,0.0,0.0
14,1.12,1723811499.7632418,1723811499.842035,0,0,0,60.3,2.02,0.0,0.0,0.0
15,1.2,1723811499.8420537,1723811499.9204187,0,0,0,60.3,2.02,0.0,0.0,0.0
16,1.28,1723811499.9204407,1723811499.998038,0,0,0,60.3,2.02,0.0,0.0,0.0
17,1.36,1723811499.99806,1723811500.0762541,0,0,0,60.3,2.02,0.0,0.0,0.0
18,1.44,1723811500.0762753,1723811500.1545427,0,0,0,60.3,2.02,0.0,0.0,0.0
19,1.52,1723811500.1545627,1723811500.232482,0,0,0,60.3,2.02,0.0,0.0,0.0
20,1.6,1723811500.2325041,1723811500.3123522,0,0,0,60.3,2.02,0.0,0.0,0.0
21,1.68,1723811500.3123817,1723811500.390971,0,0,0,60.3,2.02,0.0,0.0,0.0
22,1.76,1723811500.3909907,1723811500.469925,0,0,0,60.3,2.02,0.0,0.0,0.0
23,1.84,1723811500.4699452,1723811500.548424,0,0,0,60.3,2.02,0.0,0.0,0.0
24,1.92,1723811500.5484445,1723811500.62675,0,0,0,60.3,2.02,0.0,0.0,0.0
25,2.0,1723811500.6267724,1723811500.7062154,0,0,0,60.3,2.02,0.0,0.0,0.0
26,2.08,1723811500.7062378,1723811500.785204,0,0,0,60.3,2.02,0.0,0.0,0.0
27,2.16,1723811500.7852263,1723811500.8641164,0,0,0,60.3,2.02,0.0,0.0,0.0
