,SimSec(s),StartTime(s),EndTime(s),QUEUE_LENGTH,OBJ_DETECT_REQ,MISSED_REQ,CPU_USAGE(%),MEM_USAGE(%),WAITING_IN_QUEUE(s),IMAGE_LOAD(s),OBJECT_DETECT(s)
0,0.0,1723832777.27544,1723832777.3505871,0,0,0,62.1,2.02,0.0,0.0,0.0
1,0.08,1723832777.3506143,1723832777.4260368,0,0,0,62.1,2.02,0.0,0.0,0.0
2,0.16,1723832777.4260616,1723832777.5028737,0,0,0,62.1,2.02,0.0,0.0,0.0
3,0.24,1723832777.502896,1723832777.5785978,0,0,0,62.1,2.02,0.0,0.0,0.0
4,0.32,1723832777.5786216,1723832777.6543422,0,0,0,62.0,2.02,0.0,0.0,0.0
5,0.4,1723832777.6543648,1723832777.7301037,0,0,0,62.1,2.02,0.0,0.0,0.0
6,0.48,1723832777.730128,1723832777.804862,0,0,0,62.1,2.02,0.0,0.0,0.0
7,0.55,1723832777.8048866,1723832777.8796601,0,0,0,62.1,2.02,0.0,0.0,0.0
8,0.62,1723832777.8796835,1723832777.9554203,0,0,0,62.1,2.02,0.0,0.0,0.0
9,0.7,1723832777.9554427,1723832778.030676,0,0,0,62.1,2.02,0.0,0.0,0.0
10,0.78,1723832778.0307002,1723832778.106136,0,0,0,62.1,2.02,0.0,0.0,0.0
11,0.86,1723832778.1061897,1723832778.181223,0,0,0,62.1,2.02,0.0,0.0,0.0
12,0.94,1723832778.181247,1723832778.2563949,0,0,0,62.1,2.02,0.0,0.0,0.0
13,1.02,1723832778.2564163,1723832778.3309772,0,0,0,62.1,2.02,0.0,0.0,0.0
14,1.09,1723832778.3310008,1723832778.4063647,0,0,0,62.1,2.02,0.0,0.0,0.0
15,1.17,1723832778.406388,1723832778.4807212,0,0,0,62.1,2.02,0.0,0.0,0.0
16,1.24,1723832778.4807436,1723832778.5557666,0,0,0,62.1,2.02,0.0,0.0,0.0
17,1.32,1723832778.5557916,1723832778.6308784,0,0,0,62.0,2.02,0.0,0.0,0.0
18,1.4,1723832778.6309013,1723832778.7067366,0,0,0,62.0,2.02,0.0,0.0,0.0
19,1.48,1723832778.7067606,1723832778.783048,0,0,0,62.0,2.02,0.0,0.0,0.0
20,1.56,1723832778.7830918,1723832778.8610687,0,0,0,62.0,2.02,0.0,0.0,0.0
21,1.64,1723832778.8611138,1723832778.9381251,0,0,0,62.1,2.02,0.0,0.0,0.0
22,1.72,1723832778.9381883,1723832779.015297,0,0,0,62.1,2.02,0.0,0.0,0.0
23,1.8,1723832779.0153408,1723832779.0885286,0,0,0,62.1,2.02,0.0,0.0,0.0
24,1.87,1723832779.088547,1723832779.1522515,0,0,0,62.1,2.02,0.0,0.0,0.0
25,1.93,1723832779.15227,1723832779.2166283,0,0,0,62.1,2.02,0.0,0.0,0.0
26,1.99,1723832779.2166586,1723832779.2911744,0,0,0,62.1,2.02,0.0,0.0,0.0
27,2.06,1723832779.2911973,1723832779.3668904,0,0,0,62.1,2.02,0.0,0.0,0.0
28,2.14,1723832779.3669138,1723832779.443084,0,0,0,62.1,2.02,0.0,0.0,0.0
29,2.22,1723832779.4431114,1723832779.5187805,0,0,0,62.1,2.02,0.0,0.0,0.0
30,2.3,1723832779.5188084,1723832779.5948777,0,0,0,62.0,2.02,0.0,0.0,0.0
31,2.38,1723832779.5949004,1723832779.669643,0,0,0,62.0,2.02,0.0,0.0,0.0
32,2.45,1723832779.6696668,1723832779.7448266,0,0,0,62.0,2.02,0.0,0.0,0.0
33,2.53,1723832779.7448514,1723832779.8225243,0,0,0,62.0,2.02,0.0,0.0,0.0
34,2.61,1723832779.8225467,1723832779.8976228,0,0,0,62.0,2.02,0.0,0.0,0.0
35,2.69,1723832779.8976479,1723832779.9737883,0,0,0,62.0,2.02,0.0,0.0,0.0
36,2.77,1723832779.9738164,1723832780.0480642,0,0,0,62.1,2.02,0.0,0.0,0.0
37,2.84,1723832780.0480886,1723832780.1234763,0,0,0,62.1,2.02,0.0,0.0,0.0
38,2.92,1723832780.1234992,1723832780.1991084,0,0,0,62.1,2.02,0.0,0.0,0.0
39,3.0,1723832780.1991327,1723832780.2748325,0,0,0,62.1,2.02,0.0,0.0,0.0
40,3.08,1723832780.2748573,1723832780.3506706,0,0,0,62.1,2.02,0.0,0.0,0.0
41,3.16,1723832780.3506947,1723832780.426457,0,0,0,62.1,2.02,0.0,0.0,0.0
42,3.24,1723832780.4264836,1723832780.5022519,0,0,0,62.1,2.02,0.0,0.0,0.0
43,3.32,1723832780.5022755,1723832780.5771594,0,0,0,62.1,2.02,0.0,0.0,0.0
44,3.39,1723832780.577185,1723832780.6519542,0,0,0,62.0,2.02,0.0,0.0,0.0
45,3.46,1723832780.6519783,1723832780.7266986,0,0,0,62.0,2.02,0.0,0.0,0.0
46,3.53,1723832780.726723,1723832780.8023386,0,0,0,62.0,2.02,0.0,0.0,0.0
47,3.61,1723832780.802369,1723832780.8775125,0,0,0,62.0,2.02,0.0,0.0,0.0
48,3.69,1723832780.877539,1723832780.9521866,0,0,0,62.0,2.02,0.0,0.0,0.0
49,3.76,1723832780.9522128,1723832781.0268233,0,0,0,62.0,2.02,0.0,0.0,0.0
50,3.83,1723832781.0268505,1723832781.1028671,0,0,0,62.0,2.02,0.0,0.0,0.0
51,3.91,1723832781.102891,1723832781.1787229,0,0,0,62.1,2.02,0.0,0.0,0.0
52,3.99,1723832781.178748,1723832781.254431,0,0,0,62.1,2.02,0.0,0.0,0.0
