,SimSec(s),StartTime(s),EndTime(s),QUEUE_LENGTH,OBJ_DETECT_REQ,MISSED_REQ,CPU_USAGE(%),MEM_USAGE(%),WAITING_IN_QUEUE(s),IMAGE_LOAD(s),OBJECT_DETECT(s)
0,0.0,1723839827.1790166,1723839827.2533495,0,0,0,63.1,2.02,0.0,0.0,0.0
1,0.07,1723839827.2533717,1723839827.3309789,0,0,0,63.1,2.02,0.0,0.0,0.0
2,0.15,1723839827.3310006,1723839827.4096482,0,0,0,63.1,2.02,0.0,0.0,0.0
3,0.23,1723839827.4096675,1723839827.4867573,0,0,0,63.1,2.02,0.0,0.0,0.0
4,0.31,1723839827.4867783,1723839827.5635376,0,0,0,63.1,2.02,0.0,0.0,0.0
5,0.39,1723839827.5635586,1723839827.6402001,0,0,0,63.1,2.02,0.0,0.0,0.0
6,0.47,1723839827.6402183,1723839827.71694,0,0,0,63.1,2.02,0.0,0.0,0.0
7,0.55,1723839827.7169592,1723839827.7929778,0,0,0,63.1,2.02,0.0,0.0,0.0
8,0.63,1723839827.7929983,1723839827.8695786,0,0,0,63.1,2.02,0.0,0.0,0.0
9,0.71,1723839827.8695984,1723839827.9468377,0,0,0,63.1,2.02,0.0,0.0,0.0
10,0.79,1723839827.9468582,1723839828.0240767,0,0,0,63.1,2.02,0.0,0.0,0.0
11,0.87,1723839828.0240946,1723839828.1002274,0,0,0,63.1,2.02,0.0,0.0,0.0
12,0.95,1723839828.100248,1723839828.176203,0,0,0,63.1,2.02,0.0,0.0,0.0
13,1.03,1723839828.1762242,1723839828.253063,0,0,0,63.1,2.02,0.0,0.0,0.0
14,1.11,1723839828.253081,1723839828.3306725,0,0,0,63.1,2.02,0.0,0.0,0.0
15,1.19,1723839828.3306923,1723839828.4075825,0,0,0,63.1,2.02,0.0,0.0,0.0
16,1.27,1723839828.4076009,1723839828.4846096,0,0,0,63.1,2.02,0.0,0.0,0.0
17,1.35,1723839828.4846287,1723839828.5606694,0,0,0,63.1,2.02,0.0,0.0,0.0
18,1.43,1723839828.5606904,1723839828.6373222,0,0,0,63.1,2.02,0.0,0.0,0.0
19,1.51,1723839828.6373408,1723839828.715846,0,0,0,63.1,2.02,0.0,0.0,0.0
20,1.59,1723839828.7158656,1723839828.7921944,0,0,0,63.1,2.02,0.0,0.0,0.0
21,1.67,1723839828.7922165,1723839828.8693922,0,0,0,63.1,2.02,0.0,0.0,0.0
22,1.75,1723839828.8694103,1723839828.9465725,0,0,0,63.1,2.02,0.0,0.0,0.0
23,1.83,1723839828.9465923,1723839829.0237665,0,0,0,63.1,2.02,0.0,0.0,0.0
24,1.91,1723839829.0237868,1723839829.1000502,0,0,0,63.1,2.02,0.0,0.0,0.0
25,1.99,1723839829.1000712,1723839829.1766367,0,0,0,63.1,2.02,0.0,0.0,0.0
26,2.07,1723839829.1766567,1723839829.2528057,0,0,0,63.1,2.02,0.0,0.0,0.0
27,2.15,1723839829.2528265,1723839829.329894,0,0,0,63.1,2.02,0.0,0.0,0.0
28,2.23,1723839829.3299146,1723839829.4074066,0,0,0,63.1,2.02,0.0,0.0,0.0
29,2.31,1723839829.407427,1723839829.4846256,0,0,0,63.1,2.02,0.0,0.0,0.0
30,2.39,1723839829.484644,1723839829.5611212,0,0,0,63.1,2.02,0.0,0.0,0.0
31,2.47,1723839829.5611422,1723839829.63773,0,0,0,63.1,2.02,0.0,0.0,0.0
32,2.55,1723839829.6377509,1723839829.7145584,0,0,0,63.1,2.02,0.0,0.0,0.0
33,2.63,1723839829.7145777,1723839829.7925591,0,0,0,63.1,2.02,0.0,0.0,0.0
34,2.71,1723839829.7925808,1723839829.8693912,0,0,0,63.1,2.02,0.0,0.0,0.0
35,2.79,1723839829.8694115,1723839829.9459445,0,0,0,63.1,2.02,0.0,0.0,0.0
36,2.87,1723839829.94597,1723839830.0230153,0,0,0,63.1,2.02,0.0,0.0,0.0
37,2.95,1723839830.0230358,1723839830.0998309,0,0,0,63.1,2.02,0.0,0.0,0.0
38,3.03,1723839830.099851,1723839830.176678,0,0,0,63.1,2.02,0.0,0.0,0.0
39,3.11,1723839830.1766994,1723839830.2530887,0,0,0,63.1,2.02,0.0,0.0,0.0
40,3.19,1723839830.2531106,1723839830.3297167,0,0,0,63.1,2.02,0.0,0.0,0.0
41,3.27,1723839830.3297372,1723839830.4071393,0,0,0,63.1,2.02,0.0,0.0,0.0
42,3.35,1723839830.4071596,1723839830.4839797,0,0,0,63.1,2.02,0.0,0.0,0.0
43,3.43,1723839830.4839995,1723839830.5607262,0,0,0,63.1,2.02,0.0,0.0,0.0
44,3.51,1723839830.560746,1723839830.6373506,0,0,0,63.1,2.02,0.0,0.0,0.0
45,3.59,1723839830.6373708,1723839830.713822,0,0,0,63.1,2.02,0.0,0.0,0.0
46,3.67,1723839830.713842,1723839830.7911663,0,0,0,63.1,2.02,0.0,0.0,0.0
47,3.75,1723839830.7911923,1723839830.8680768,0,0,0,63.1,2.02,0.0,0.0,0.0
48,3.83,1723839830.8680997,1723839830.9446669,0,0,0,63.1,2.02,0.0,0.0,0.0
49,3.91,1723839830.94469,1723839831.0217357,0,0,0,63.1,2.02,0.0,0.0,0.0
50,3.99,1723839831.0217557,1723839831.0976222,0,0,0,63.1,2.02,0.0,0.0,0.0
51,4.07,1723839831.0976443,1723839831.1750891,0,0,0,63.1,2.02,0.0,0.0,0.0
52,4.15,1723839831.175112,1723839831.2522333,0,0,0,63.1,2.02,0.0,0.0,0.0
53,4.23,1723839831.2522702,1723839831.334254,0,0,0,63.1,2.02,0.0,0.0,0.0
54,4.31,1723839831.3342896,1723839831.4134674,0,0,0,63.1,2.02,0.0,0.0,0.0
55,4.39,1723839831.4135032,1723839831.4898381,0,0,0,63.1,2.02,0.0,0.0,0.0
56,4.47,1723839831.489856,1723839831.555885,0,0,0,63.1,2.02,0.0,0.0,0.0
57,4.54,1723839831.555902,1723839831.62081,0,0,0,63.1,2.02,0.0,0.0,0.0
58,4.6,1723839831.6208408,1723839831.6964777,0,0,0,63.1,2.02,0.0,0.0,0.0
59,4.68,1723839831.6965036,1723839831.7729769,0,0,0,63.1,2.02,0.0,0.0,0.0
60,4.76,1723839831.7729976,1723839831.849328,0,0,0,63.1,2.02,0.0,0.0,0.0
61,4.84,1723839831.8493505,1723839831.9263566,0,0,0,63.1,2.02,0.0,0.0,0.0
62,4.92,1723839831.9263763,1723839832.0033994,0,0,0,63.1,2.02,0.0,0.0,0.0
63,5.0,1723839832.0034199,1723839832.0798476,0,0,0,63.1,2.02,0.0,0.0,0.0
64,5.08,1723839832.0798697,1723839832.157199,0,0,0,63.1,2.02,0.0,0.0,0.0
65,5.16,1723839832.1572194,1723839832.2349539,0,0,0,63.1,2.02,0.0,0.0,0.0
66,5.24,1723839832.2349749,1723839832.3120937,0,0,0,63.1,2.02,0.0,0.0,0.0
67,5.32,1723839832.3121157,1723839832.3904326,0,0,0,63.1,2.02,0.0,0.0,0.0
68,5.4,1723839832.3904543,1723839832.467757,0,0,0,63.1,2.02,0.0,0.0,0.0
69,5.48,1723839832.4677799,1723839832.5455608,0,0,0,63.1,2.02,0.0,0.0,0.0
70,5.56,1723839832.545583,1723839832.6228926,0,0,0,63.1,2.02,0.0,0.0,0.0
71,5.64,1723839832.622913,1723839832.6997745,0,0,0,63.1,2.02,0.0,0.0,0.0
72,5.72,1723839832.6997962,1723839832.776514,0,0,0,63.1,2.02,0.0,0.0,0.0
73,5.8,1723839832.7765396,1723839832.8533888,0,0,0,63.1,2.02,0.0,0.0,0.0
74,5.88,1723839832.8534098,1723839832.9307468,0,0,0,63.1,2.02,0.0,0.0,0.0
75,5.96,1723839832.93077,1723839833.0078957,0,0,0,63.1,2.02,0.0,0.0,0.0
76,6.04,1723839833.0079165,1723839833.084964,0,0,0,63.1,2.02,0.0,0.0,0.0
77,6.12,1723839833.0849853,1723839833.1609378,0,0,0,63.1,2.02,0.0,0.0,0.0
78,6.2,1723839833.1609592,1723839833.2379484,0,0,0,63.1,2.02,0.0,0.0,0.0
79,6.28,1723839833.2379704,1723839833.314465,0,0,0,63.1,2.02,0.0,0.0,0.0
80,6.36,1723839833.3144853,1723839833.3915617,0,0,0,63.1,2.02,0.0,0.0,0.0
81,6.44,1723839833.391583,1723839833.4683545,0,0,0,63.1,2.02,0.0,0.0,0.0
82,6.52,1723839833.4683745,1723839833.545657,0,0,0,63.1,2.02,0.0,0.0,0.0
83,6.6,1723839833.5456784,1723839833.622804,0,0,0,63.1,2.02,0.0,0.0,0.0
84,6.68,1723839833.6228256,1723839833.6997328,0,0,0,63.1,2.02,0.0,0.0,0.0
85,6.76,1723839833.6997528,1723839833.7765894,0,0,0,63.1,2.02,0.0,0.0,0.0
86,6.84,1723839833.7766106,1723839833.853413,0,0,0,63.1,2.02,0.0,0.0,0.0
87,6.92,1723839833.8534331,1723839833.930416,0,0,0,63.1,2.02,0.0,0.0,0.0
88,7.0,1723839833.9304368,1723839834.0075943,0,0,0,63.1,2.02,0.0,0.0,0.0
89,7.08,1723839834.0076177,1723839834.0849392,0,0,0,63.1,2.02,0.0,0.0,0.0
90,7.16,1723839834.0849617,1723839834.1611238,0,0,0,63.1,2.02,0.0,0.0,0.0
91,7.24,1723839834.1611445,1723839834.2379227,0,0,0,63.1,2.02,0.0,0.0,0.0
92,7.32,1723839834.2379434,1723839834.314806,0,0,0,63.1,2.02,0.0,0.0,0.0
93,7.4,1723839834.3148303,1723839834.392196,0,0,0,63.1,2.02,0.0,0.0,0.0
94,7.48,1723839834.3922179,1723839834.4690802,0,0,0,63.1,2.02,0.0,0.0,0.0
95,7.56,1723839834.4691007,1723839834.5453115,0,0,0,63.1,2.02,0.0,0.0,0.0
96,7.64,1723839834.545333,1723839834.6229131,0,0,0,63.1,2.02,0.0,0.0,0.0
97,7.72,1723839834.6229339,1723839834.6998694,0,0,0,63.1,2.02,0.0,0.0,0.0
98,7.8,1723839834.69989,1723839834.7761958,0,0,0,63.1,2.02,0.0,0.0,0.0
99,7.88,1723839834.7762175,1723839834.852576,0,0,0,63.1,2.02,0.0,0.0,0.0
100,7.96,1723839834.8525977,1723839834.9291203,0,0,0,63.1,2.02,0.0,0.0,0.0
101,8.04,1723839834.9291415,1723839835.0056264,0,0,0,63.1,2.02,0.0,0.0,0.0
102,8.12,1723839835.0056481,1723839835.0830643,0,0,0,63.1,2.02,0.0,0.0,0.0
103,8.2,1723839835.0830855,1723839835.1598072,0,0,0,63.1,2.02,0.0,0.0,0.0
104,8.28,1723839835.1598306,1723839835.2361777,0,0,0,63.1,2.02,0.0,0.0,0.0
105,8.36,1723839835.2362003,1723839835.312674,0,0,0,63.1,2.02,0.0,0.0,0.0
106,8.44,1723839835.3126953,1723839835.3894281,0,0,0,63.1,2.02,0.0,0.0,0.0
107,8.52,1723839835.3894503,1723839835.4650807,0,0,0,63.1,2.02,0.0,0.0,0.0
108,8.6,1723839835.4651008,1723839835.5413892,0,0,0,63.1,2.02,0.0,0.0,0.0
109,8.68,1723839835.5414104,1723839835.6191213,0,0,0,63.1,2.02,0.0,0.0,0.0
110,8.76,1723839835.619142,1723839835.695786,0,0,0,63.1,2.02,0.0,0.0,0.0
111,8.84,1723839835.6958063,1723839835.7723653,0,0,0,63.1,2.02,0.0,0.0,0.0
112,8.92,1723839835.7723851,1723839835.849143,0,0,0,63.1,2.02,0.0,0.0,0.0
113,9.0,1723839835.849162,1723839835.925381,0,0,0,63.1,2.02,0.0,0.0,0.0
114,9.08,1723839835.9254005,1723839836.0029483,0,0,0,63.1,2.02,0.0,0.0,0.0
115,9.16,1723839836.0029674,1723839836.0801103,0,0,0,63.1,2.02,0.0,0.0,0.0
116,9.24,1723839836.0801308,1723839836.1572065,0,0,0,63.1,2.02,0.0,0.0,0.0
117,9.32,1723839836.157226,1723839836.2350967,0,0,0,63.1,2.02,0.0,0.0,0.0
118,9.4,1723839836.235117,1723839836.315011,0,0,0,63.1,2.02,0.0,0.0,0.0
119,9.48,1723839836.315032,1723839836.3962603,0,0,0,63.1,2.02,0.0,0.0,0.0
120,9.56,1723839836.3962896,1723839836.4707735,0,0,0,63.1,2.02,0.0,0.0,0.0
