,SimSec(s),StartTime(s),EndTime(s),QUEUE_LENGTH,OBJ_DETECT_REQ,MISSED_REQ,CPU_USAGE(%),MEM_USAGE(%),WAITING_IN_QUEUE(s),IMAGE_LOAD(s),OBJECT_DETECT(s)
0,0.0,1723818573.4802136,1723818573.5476184,0,0,0,58.7,2.02,0.0,0.0,0.0
1,0.07,1723818573.5476413,1723818573.6254096,0,0,0,58.7,2.02,0.0,0.0,0.0
2,0.15,1723818573.6254287,1723818573.7053366,0,0,0,58.7,2.02,0.0,0.0,0.0
3,0.23,1723818573.7053595,1723818573.7840817,0,0,0,58.7,2.02,0.0,0.0,0.0
4,0.31,1723818573.7841024,1723818573.8622158,0,0,0,58.7,2.02,0.0,0.0,0.0
5,0.39,1723818573.8622377,1723818573.9410071,0,0,0,58.7,2.02,0.0,0.0,0.0
6,0.47,1723818573.941028,1723818574.019758,0,0,0,58.7,2.02,0.0,0.0,0.0
7,0.55,1723818574.01978,1723818574.097899,0,0,0,58.7,2.02,0.0,0.0,0.0
8,0.63,1723818574.0979214,1723818574.1764736,0,0,0,58.7,2.02,0.0,0.0,0.0
9,0.71,1723818574.1764958,1723818574.2537713,0,0,0,58.7,2.02,0.0,0.0,0.0
10,0.79,1723818574.2537928,1723818574.3321972,0,0,0,58.7,2.02,0.0,0.0,0.0
11,0.87,1723818574.3322165,1723818574.4103358,0,0,0,58.7,2.02,0.0,0.0,0.0
12,0.95,1723818574.4103575,1723818574.4885466,0,0,0,58.7,2.02,0.0,0.0,0.0
13,1.03,1723818574.4885683,1723818574.5678055,0,0,0,58.7,2.02,0.0,0.0,0.0
14,1.11,1723818574.5678248,1723818574.646275,0,0,0,58.7,2.02,0.0,0.0,0.0
15,1.19,1723818574.6462965,1723818574.7240148,0,0,0,58.7,2.02,0.0,0.0,0.0
16,1.27,1723818574.724036,1723818574.8016331,0,0,0,58.7,2.02,0.0,0.0,0.0
17,1.35,1723818574.8016548,1723818574.8800187,0,0,0,58.7,2.02,0.0,0.0,0.0
18,1.43,1723818574.8800404,1723818574.9583342,0,0,0,58.7,2.02,0.0,0.0,0.0
19,1.51,1723818574.958354,1723818575.0366464,0,0,0,58.7,2.02,0.0,0.0,0.0
20,1.59,1723818575.0366678,1723818575.1144745,0,0,0,58.7,2.02,0.0,0.0,0.0
21,1.67,1723818575.1144938,1723818575.1930928,0,0,0,58.7,2.02,0.0,0.0,0.0
22,1.75,1723818575.193113,1723818575.2715046,0,0,0,58.7,2.02,0.0,0.0,0.0
23,1.83,1723818575.2715263,1723818575.3488207,0,0,0,58.7,2.02,0.0,0.0,0.0
24,1.91,1723818575.3488402,1723818575.4275975,0,0,0,58.7,2.02,0.0,0.0,0.0
25,1.99,1723818575.4276178,1723818575.5053144,0,0,0,58.7,2.02,0.0,0.0,0.0
26,2.07,1723818575.5053372,1723818575.584198,0,0,0,58.7,2.02,0.0,0.0,0.0
27,2.15,1723818575.5842195,1723818575.6620255,0,0,0,58.7,2.02,0.0,0.0,0.0
28,2.23,1723818575.6620693,1723818575.7454848,0,0,0,58.7,2.02,0.0,0.0,0.0
29,2.31,1723818575.7455292,1723818575.8252654,0,0,0,58.7,2.02,0.0,0.0,0.0
30,2.39,1723818575.8252847,1723818575.8918474,0,0,0,58.7,2.02,0.0,0.0,0.0
31,2.46,1723818575.891866,1723818575.9587555,0,0,0,58.7,2.02,0.0,0.0,0.0
