,SimSec(s),StartTime(s),EndTime(s),QUEUE_LENGTH,OBJ_DETECT_REQ,MISSED_REQ,CPU_USAGE(%),MEM_USAGE(%),WAITING_IN_QUEUE(s),IMAGE_LOAD(s),OBJECT_DETECT(s)
0,0.0,1723825628.1738648,1723825628.249731,0,0,0,58.2,2.02,0.0,0.0,0.0
1,0.08,1723825628.2497582,1723825628.3277643,0,0,0,58.2,2.02,0.0,0.0,0.0
2,0.16,1723825628.3277857,1723825628.4080412,0,0,0,58.2,2.02,0.0,0.0,0.0
3,0.24,1723825628.408065,1723825628.4862056,0,0,0,58.2,2.02,0.0,0.0,0.0
4,0.32,1723825628.486228,1723825628.5643437,0,0,0,58.2,2.02,0.0,0.0,0.0
5,0.4,1723825628.564368,1723825628.6423614,0,0,0,58.2,2.02,0.0,0.0,0.0
6,0.48,1723825628.6423817,1723825628.720251,0,0,0,58.2,2.02,0.0,0.0,0.0
7,0.56,1723825628.7202754,1723825628.7978475,0,0,0,58.2,2.02,0.0,0.0,0.0
8,0.64,1723825628.797869,1723825628.875678,0,0,0,58.2,2.02,0.0,0.0,0.0
9,0.72,1723825628.8757026,1723825628.9536774,0,0,0,58.2,2.02,0.0,0.0,0.0
10,0.8,1723825628.953699,1723825629.0332694,0,0,0,58.2,2.02,0.0,0.0,0.0
11,0.88,1723825629.0333154,1723825629.1163023,0,0,0,58.2,2.02,0.0,0.0,0.0
12,0.96,1723825629.1163259,1723825629.1938202,0,0,0,58.2,2.02,0.0,0.0,0.0
13,1.04,1723825629.1938434,1723825629.272453,0,0,0,58.2,2.02,0.0,0.0,0.0
14,1.12,1723825629.2724743,1723825629.3501797,0,0,0,58.2,2.02,0.0,0.0,0.0
15,1.2,1723825629.350204,1723825629.4281383,0,0,0,58.2,2.02,0.0,0.0,0.0
16,1.28,1723825629.4281597,1723825629.506295,0,0,0,58.2,2.02,0.0,0.0,0.0
17,1.36,1723825629.5063179,1723825629.584641,0,0,0,58.2,2.02,0.0,0.0,0.0
18,1.44,1723825629.5846622,1723825629.66245,0,0,0,58.2,2.02,0.0,0.0,0.0
19,1.52,1723825629.6624737,1723825629.7400708,0,0,0,58.2,2.02,0.0,0.0,0.0
