,SimSec(s),StartTime(s),EndTime(s),QUEUE_LENGTH,OBJ_DETECT_REQ,MISSED_REQ,CPU_USAGE(%),MEM_USAGE(%),WAITING_IN_QUEUE(s),IMAGE_LOAD(s),OBJECT_DETECT(s)
0,0.0,1723829172.2736132,1723829172.3497858,0,0,0,58.8,2.02,0.0,0.0,0.0
1,0.08,1723829172.3498106,1723829172.4279127,0,0,0,58.8,2.02,0.0,0.0,0.0
2,0.16,1723829172.4279351,1723829172.5058024,0,0,0,58.8,2.02,0.0,0.0,0.0
3,0.24,1723829172.5058234,1723829172.584622,0,0,0,58.8,2.02,0.0,0.0,0.0
4,0.32,1723829172.5846415,1723829172.6622424,0,0,0,58.8,2.02,0.0,0.0,0.0
5,0.4,1723829172.6622672,1723829172.7405381,0,0,0,58.8,2.02,0.0,0.0,0.0
6,0.48,1723829172.7405596,1723829172.817488,0,0,0,58.8,2.02,0.0,0.0,0.0
7,0.56,1723829172.8175106,1723829172.8950512,0,0,0,58.8,2.02,0.0,0.0,0.0
8,0.64,1723829172.8950748,1723829172.9732738,0,0,0,58.8,2.02,0.0,0.0,0.0
9,0.72,1723829172.9732955,1723829173.0523925,0,0,0,58.8,2.02,0.0,0.0,0.0
10,0.8,1723829173.0524163,1723829173.1348228,0,0,0,58.8,2.02,0.0,0.0,0.0
11,0.88,1723829173.13486,1723829173.2158504,0,0,0,58.8,2.02,0.0,0.0,0.0
12,0.96,1723829173.2158723,1723829173.2937675,0,0,0,58.8,2.02,0.0,0.0,0.0
13,1.04,1723829173.293791,1723829173.3722174,0,0,0,58.8,2.02,0.0,0.0,0.0
14,1.12,1723829173.3722384,1723829173.449963,0,0,0,58.8,2.02,0.0,0.0,0.0
15,1.2,1723829173.4499853,1723829173.5291147,0,0,0,58.8,2.02,0.0,0.0,0.0
16,1.28,1723829173.5291524,1723829173.6111693,0,0,0,58.8,2.02,0.0,0.0,0.0
17,1.36,1723829173.6112,1723829173.6924345,0,0,0,58.8,2.02,0.0,0.0,0.0
18,1.44,1723829173.6924565,1723829173.7592857,0,0,0,58.8,2.02,0.0,0.0,0.0
19,1.51,1723829173.7593036,1723829173.8254833,0,0,0,58.8,2.02,0.0,0.0,0.0
20,1.58,1723829173.825511,1723829173.9026263,0,0,0,58.8,2.02,0.0,0.0,0.0
21,1.66,1723829173.902649,1723829173.9805412,0,0,0,58.8,2.02,0.0,0.0,0.0
22,1.74,1723829173.9805622,1723829174.0595279,0,0,0,58.8,2.02,0.0,0.0,0.0
23,1.82,1723829174.0595493,1723829174.1371446,0,0,0,58.8,2.02,0.0,0.0,0.0
24,1.9,1723829174.1371663,1723829174.2161272,0,0,0,58.8,2.02,0.0,0.0,0.0
